county_name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Elmore County, Alabama","79,552","79,993","80,193","80,536","80,538","80,872","81,204","81,422","81,011","81,209"
".Escambia County, Alabama","38,345","38,204","38,023","37,765","37,735","37,661","37,475","36,993","36,524","36,633"
".Etowah County, Alabama","104,459","104,369","104,278","103,884","103,399","102,998","102,855","103,007","102,611","102,268"
".Fayette County, Alabama","17,229","17,052","16,945","16,824","16,772","16,696","16,563","16,466","16,445","16,302"
".Franklin County, Alabama","31,746","31,776","31,690","31,553","31,559","31,515","31,611","31,542","31,298","31,362"
".Geneva County, Alabama","26,777","26,756","26,924","26,677","26,593","26,631","26,494","26,385","26,306","26,271"
".Greene County, Alabama","8,991","8,903","8,848","8,748","8,584","8,508","8,482","8,310","8,209","8,111"
".Hale County, Alabama","15,745","15,361","15,364","15,246","15,046","15,015","14,828","14,801","14,749","14,651"
".Henry County, Alabama","17,296","17,377","17,153","17,129","17,079","17,101","17,072","17,115","17,173","17,205"
".Houston County, Alabama","101,798","102,488","103,371","103,643","104,158","104,260","104,218","104,378","104,770","105,882"
".Jackson County, Alabama","53,184","53,214","53,079","52,957","52,562","52,195","51,988","51,828","51,621","51,626"
".Jefferson County, Alabama","658,215","658,109","658,061","659,265","659,972","660,455","660,343","659,599","659,429","658,573"
".Lamar County, Alabama","14,496","14,291","14,248","14,212","14,067","13,927","13,928","13,882","13,882","13,805"
".Lauderdale County, Alabama","92,737","92,607","92,662","92,701","93,000","92,459","92,425","92,564","92,604","92,729"
".Lawrence County, Alabama","34,342","34,051","33,806","33,575","33,444","33,135","33,227","33,063","32,941","32,924"
".Lee County, Alabama","140,794","144,130","148,567","151,809","154,511","156,954","159,168","161,440","163,656","164,542"
".Limestone County, Alabama","83,181","85,557","87,326","88,916","90,599","91,565","92,847","94,130","96,177","98,915"
".Lowndes County, Alabama","11,289","11,140","10,851","10,661","10,494","10,350","10,248","10,097","9,974","9,726"
".Macon County, Alabama","21,505","21,284","20,608","20,021","19,641","19,296","19,060","18,793","18,321","18,068"
".Madison County, Alabama","336,095","339,565","342,730","346,625","349,796","352,977","356,729","361,762","367,004","372,909"
".Marengo County, Alabama","20,956","20,661","20,375","20,119","19,986","19,766","19,525","19,396","19,056","18,863"
".Marion County, Alabama","30,816","30,652","30,484","30,224","30,199","30,119","29,960","29,792","29,750","29,709"
".Marshall County, Alabama","93,122","93,895","94,260","94,356","94,257","94,585","95,113","95,572","96,170","96,774"
".Mobile County, Alabama","413,315","413,068","413,816","413,918","414,149","414,462","414,945","414,045","413,908","413,210"
".Monroe County, Alabama","23,005","22,796","22,581","22,170","21,926","21,717","21,548","21,290","21,062","20,733"
".Montgomery County, Alabama","229,505","229,189","228,874","228,190","227,551","227,279","227,170","227,265","226,504","226,486"
".Morgan County, Alabama","119,608","120,024","120,102","119,571","119,444","119,257","119,006","118,918","119,203","119,679"
".Perry County, Alabama","10,563","10,450","10,163","9,999","9,801","9,640","9,532","9,302","9,070","8,923"
".Pickens County, Alabama","19,749","19,354","19,309","19,300","20,272","20,776","20,325","20,204","19,980","19,930"
".Pike County, Alabama","32,970","33,025","33,215","33,715","33,199","33,496","33,464","33,349","33,242","33,114"
".Randolph County, Alabama","22,937","22,745","22,533","22,547","22,353","22,594","22,504","22,687","22,727","22,722"
".Russell County, Alabama","53,321","54,852","57,500","59,149","59,224","58,844","58,185","56,985","57,784","57,961"
".St. Clair County, Alabama","83,571","83,975","84,761","85,810","85,996","86,546","87,306","87,926","88,654","89,512"
".Shelby County, Alabama","196,032","197,952","200,912","204,039","206,280","208,959","211,282","213,633","215,583","217,702"
".Sumter County, Alabama","13,730","13,490","13,440","13,394","13,270","13,206","12,967","12,749","12,634","12,427"
".Talladega County, Alabama","82,172","81,863","82,146","81,578","81,512","81,128","80,552","80,142","80,137","79,978"
".Tallapoosa County, Alabama","41,476","41,402","41,048","41,028","40,884","40,605","40,586","40,613","40,535","40,367"
".Tuscaloosa County, Alabama","194,996","196,745","198,807","201,084","203,086","204,767","206,464","207,618","208,319","209,355"
".Walker County, Alabama","66,997","66,585","66,104","65,777","65,338","64,931","64,533","63,895","63,669","63,521"
".Washington County, Alabama","17,626","17,355","17,146","16,897","16,868","16,832","16,621","16,522","16,402","16,326"
".Wilcox County, Alabama","11,560","11,438","11,302","11,145","10,946","10,896","10,844","10,691","10,599","10,373"
".Winston County, Alabama","24,412","24,362","24,193","24,189","24,139","23,930","23,907","23,760","23,693","23,629"
".Aleutians East Borough, Alaska","3,166","3,259","3,294","3,343","3,346","3,373","3,363","3,455","3,395","3,337"
".Aleutians West Census Area, Alaska","5,559","5,582","5,676","5,777","5,822","5,781","5,705","5,729","5,640","5,634"
".Anchorage Municipality, Alaska","293,321","296,197","298,255","301,142","299,893","297,547","297,249","294,338","290,521","288,000"
".Bethel Census Area, Alaska","17,084","17,419","17,656","17,852","17,936","17,955","18,022","18,090","18,219","18,386"
".Bristol Bay Borough, Alaska","1,002","1,030",979,951,947,904,902,869,880,836
".Denali Borough, Alaska","1,835","1,872","1,908","1,943","1,916","1,933","2,055","2,084","2,032","2,097"
".Dillingham Census Area, Alaska","4,850","4,947","4,949","4,978","4,983","4,988","4,970","4,940","4,991","4,916"
".Fairbanks North Star Borough, Alaska","98,264","98,120","100,311","100,933","99,254","99,636","100,633","99,675","98,565","96,849"
".Haines Borough, Alaska","2,501","2,574","2,577","2,558","2,555","2,516","2,531","2,524","2,488","2,530"
".Hoonah-Angoon Census Area, Alaska","2,107","2,085","2,114","2,116","2,098","2,132","2,121","2,139","2,155","2,148"
".Juneau City and Borough, Alaska","31,387","32,161","32,384","32,594","32,481","32,615","32,412","32,098","32,037","31,974"
".Kenai Peninsula Borough, Alaska","55,554","56,299","56,900","57,014","57,558","58,034","58,458","58,558","58,561","58,708"
".Ketchikan Gateway Borough, Alaska","13,573","13,674","13,729","13,722","13,802","13,702","13,707","13,834","13,856","13,901"
".Kodiak Island Borough, Alaska","13,646","13,806","14,037","14,093","13,907","13,767","13,728","13,512","13,250","12,998"
".Kusilvak Census Area, Alaska","7,467","7,651","7,794","7,974","8,100","8,194","8,181","8,236","8,323","8,314"
".Lake and Peninsula Borough, Alaska","1,639","1,649","1,649","1,667","1,647","1,595","1,600","1,612","1,596","1,592"
".Matanuska-Susitna Borough, Alaska","89,732","91,725","93,677","95,880","98,103","101,062","104,119","106,232","107,115","108,317"
".Nome Census Area, Alaska","9,543","9,776","9,824","9,852","9,810","9,893","9,966","10,025","10,053","10,004"
".North Slope Borough, Alaska","9,478","9,554","9,698","9,792","9,776","9,788","9,694","9,795","9,850","9,832"
".Northwest Arctic Borough, Alaska","7,560","7,705","7,705","7,725","7,772","7,772","7,691","7,795","7,694","7,621"
".Petersburg Borough, Alaska","3,219","3,255","3,277","3,291","3,261","3,253","3,260","3,264","3,244","3,266"
".Prince of Wales-Hyder Census Area, Alaska","6,211","6,373","6,423","6,446","6,463","6,508","6,519","6,444","6,360","6,203"
".Sitka City and Borough, Alaska","8,881","8,884","9,017","8,973","8,838","8,778","8,736","8,641","8,554","8,493"
".Skagway Municipality, Alaska",968,962,998,"1,026","1,054","1,088","1,132","1,167","1,169","1,183"
".Southeast Fairbanks Census Area, Alaska","7,061","7,150","7,172","6,986","6,925","6,812","6,857","6,892","6,937","6,893"
".Valdez-Cordova Census Area, Alaska","9,657","9,740","9,734","9,781","9,478","9,319","9,314","9,220","9,161","9,202"
".Wrangell City and Borough, Alaska","2,371","2,394","2,420","2,448","2,441","2,453","2,496","2,521","2,538","2,502"
".Yakutat City and Borough, Alaska",662,656,664,651,655,635,612,602,596,579
".Yukon-Koyukuk Census Area, Alaska","5,612","5,629","5,622","5,560","5,462","5,465","5,423","5,409","5,359","5,230"
".Apache County, Arizona","71,829","72,182","72,229","72,322","71,796","71,012","71,381","71,545","71,731","71,887"
".Cochise County, Arizona","131,822","133,097","132,017","129,578","127,314","126,454","125,686","124,864","126,411","125,922"
".Coconino County, Arizona","134,612","134,275","136,146","136,699","137,566","138,962","140,407","141,001","142,523","143,476"
".Gila County, Arizona","53,561","53,440","52,994","53,005","53,044","52,978","53,356","53,578","53,801","54,018"
".Graham County, Arizona","37,152","37,126","37,015","37,433","38,099","37,860","37,807","37,481","37,995","38,837"
".Greenlee County, Arizona","8,339","8,585","8,764","8,916","9,349","9,577","9,643","9,443","9,448","9,498"
".La Paz County, Arizona","20,497","20,604","20,521","20,522","20,516","20,466","20,648","20,706","21,039","21,108"
".Maricopa County, Arizona","3,825,110","3,874,996","3,947,505","4,017,723","4,093,648","4,172,905","4,256,143","4,327,184","4,402,403","4,485,414"
".Mohave County, Arizona","200,314","202,812","203,347","203,126","203,423","204,574","205,412","207,017","209,292","212,181"
".Navajo County, Arizona","107,697","107,552","107,313","107,135","107,701","107,638","108,467","109,079","110,242","110,924"
".Pima County, Arizona","981,620","988,381","993,052","997,127","1,004,229","1,009,103","1,016,707","1,026,391","1,036,554","1,047,279"
".Pinal County, Arizona","379,094","378,041","382,251","385,398","395,322","405,614","417,193","431,564","446,806","462,789"
".Santa Cruz County, Arizona","47,415","47,667","47,359","46,939","46,636","46,542","46,400","46,566","46,395","46,498"
".Yavapai County, Arizona","210,983","211,044","211,990","214,421","217,716","220,805","224,575","228,082","231,772","235,099"
".Yuma County, Arizona","197,127","202,841","202,475","202,420","204,054","205,186","207,247","209,507","211,612","213,787"
".Arkansas County, Arkansas","19,009","18,871","18,964","18,755","18,479","18,330","18,154","17,872","17,726","17,486"
".Ashley County, Arkansas","21,829","21,673","21,515","21,278","20,956","20,838","20,530","20,311","20,012","19,657"
".Baxter County, Arkansas","41,510","41,349","41,080","40,983","40,888","41,138","41,131","41,308","41,624","41,932"
".Benton County, Arkansas","222,593","229,171","234,938","239,461","244,841","251,591","259,212","266,585","272,266","279,141"
".Boone County, Arkansas","36,893","37,086","37,333","37,328","37,116","37,119","37,259","37,459","37,385","37,432"
".Bradley County, Arkansas","11,470","11,432","11,266","11,120","11,007","10,999","10,959","10,813","10,838","10,763"
".Calhoun County, Arkansas","5,362","5,243","5,278","5,192","5,167","5,200","5,143","5,201","5,227","5,189"
".Carroll County, Arkansas","27,553","27,466","27,623","27,791","27,734","27,755","27,728","27,865","28,097","28,380"
".Chicot County, Arkansas","11,799","11,703","11,498","11,362","11,211","10,970","10,899","10,647","10,442","10,118"
".Clark County, Arkansas","22,925","22,928","22,755","22,582","22,557","22,513","22,602","22,184","22,313","22,320"
".Clay County, Arkansas","16,050","15,876","15,710","15,484","15,299","15,206","15,060","14,865","14,763","14,551"
".Cleburne County, Arkansas","25,986","25,875","25,763","25,625","25,591","25,355","25,173","25,059","24,994","24,919"
".Cleveland County, Arkansas","8,677","8,674","8,609","8,515","8,399","8,284","8,245","8,162","7,995","7,956"
".Columbia County, Arkansas","24,723","24,709","24,413","24,284","24,049","24,115","24,026","23,695","23,586","23,457"
".Conway County, Arkansas","21,219","21,128","21,141","21,088","20,995","20,936","20,874","20,810","20,825","20,846"
".Craighead County, Arkansas","96,748","98,405","99,993","101,653","102,661","104,457","105,932","107,188","108,816","110,332"
".Crawford County, Arkansas","61,956","61,796","61,911","61,667","61,807","61,904","62,263","62,894","63,379","63,257"
".Crittenden County, Arkansas","50,958","50,517","50,077","49,739","49,536","49,019","49,306","48,716","48,363","47,955"
".Cross County, Arkansas","17,862","17,809","17,703","17,521","17,181","17,255","17,025","16,792","16,630","16,419"
".Dallas County, Arkansas","8,066","8,056","7,952","7,892","7,691","7,530","7,399","7,307","7,152","7,009"
".Desha County, Arkansas","12,954","12,731","12,590","12,502","12,270","12,029","11,905","11,743","11,507","11,361"
".Drew County, Arkansas","18,666","18,735","18,788","18,686","18,642","18,613","18,553","18,370","18,328","18,219"
".Faulkner County, Arkansas","114,026","116,280","118,523","119,176","120,562","121,241","122,206","123,530","125,138","126,007"
".Franklin County, Arkansas","18,142","18,009","17,959","17,915","17,828","17,749","17,655","17,809","17,764","17,715"
".Fulton County, Arkansas","12,215","12,240","12,169","12,170","12,081","12,138","12,099","12,131","12,308","12,477"
".Garland County, Arkansas","96,067","96,854","96,986","97,654","97,758","97,814","98,282","98,327","98,966","99,386"
".Grant County, Arkansas","17,886","17,947","18,038","18,046","18,074","18,016","18,064","18,103","18,180","18,265"
".Greene County, Arkansas","42,201","42,763","43,229","43,160","43,788","44,300","44,730","44,993","45,339","45,325"
".Hempstead County, Arkansas","22,596","22,488","22,344","22,420","22,326","22,085","22,032","21,876","21,685","21,532"
".Hot Spring County, Arkansas","33,231","33,142","33,507","33,528","33,409","33,497","33,438","33,606","33,672","33,771"
".Howard County, Arkansas","13,796","13,816","13,675","13,543","13,492","13,336","13,350","13,365","13,302","13,202"
".Independence County, Arkansas","36,809","36,884","36,953","36,885","37,080","37,035","37,117","37,391","37,768","37,825"
".Izard County, Arkansas","13,726","13,572","13,541","13,411","13,557","13,487","13,488","13,666","13,582","13,629"
".Jackson County, Arkansas","18,057","17,887","17,680","17,729","17,591","17,365","17,282","17,017","16,753","16,719"
".Jefferson County, Arkansas","77,341","76,039","74,634","73,191","72,458","71,872","70,407","69,238","68,067","66,824"
".Johnson County, Arkansas","25,556","25,675","25,914","25,932","25,969","26,094","26,127","26,401","26,659","26,578"
".Lafayette County, Arkansas","7,647","7,536","7,450","7,284","7,158","7,010","6,888","6,797","6,679","6,624"
".Lawrence County, Arkansas","17,518","17,282","17,040","17,054","16,969","16,696","16,639","16,571","16,432","16,406"
".Lee County, Arkansas","10,395","10,291","10,184","10,010","9,839","9,672","9,337","9,127","8,976","8,857"
".Lincoln County, Arkansas","14,089","14,339","14,180","14,063","14,025","13,866","13,728","13,475","13,184","13,024"
".Little River County, Arkansas","13,132","12,945","12,916","12,733","12,503","12,402","12,406","12,373","12,297","12,259"
".Logan County, Arkansas","22,308","22,242","21,928","22,031","21,866","21,729","21,732","21,739","21,673","21,466"
".Lonoke County, Arkansas","68,744","69,529","70,109","70,742","71,368","71,359","71,803","72,778","73,391","73,309"
".Madison County, Arkansas","15,684","15,662","15,597","15,679","15,731","15,705","16,112","16,299","16,362","16,576"
".Marion County, Arkansas","16,665","16,671","16,621","16,444","16,423","16,215","16,376","16,429","16,665","16,694"
".Miller County, Arkansas","43,562","43,762","43,663","43,402","43,458","43,792","43,713","43,736","43,362","43,257"
".Mississippi County, Arkansas","46,399","46,031","45,553","44,695","44,247","43,729","42,900","42,112","41,236","40,651"
".Monroe County, Arkansas","8,138","8,099","7,854","7,690","7,634","7,452","7,205","7,013","6,880","6,701"
".Montgomery County, Arkansas","9,510","9,402","9,340","9,252","9,162","9,027","8,936","8,890","8,910","8,986"
".Nevada County, Arkansas","8,997","9,008","8,909","8,772","8,645","8,508","8,378","8,309","8,308","8,252"
".Newton County, Arkansas","8,304","8,251","8,052","8,042","7,867","7,846","7,848","7,815","7,800","7,753"
".Ouachita County, Arkansas","26,046","25,737","25,398","24,948","24,761","24,316","24,013","23,817","23,620","23,382"
".Perry County, Arkansas","10,444","10,383","10,328","10,335","10,360","10,307","10,286","10,346","10,380","10,455"
".Phillips County, Arkansas","21,676","21,406","20,736","20,437","19,952","19,546","19,050","18,599","18,054","17,782"
".Pike County, Arkansas","11,264","11,241","11,254","11,121","10,989","10,837","10,826","10,735","10,666","10,718"
".Poinsett County, Arkansas","24,515","24,449","24,299","24,187","24,152","24,002","23,974","24,071","23,903","23,528"
".Polk County, Arkansas","20,667","20,558","20,420","20,342","20,249","20,194","20,145","20,147","20,019","19,964"
".Pope County, Arkansas","62,109","62,687","62,631","62,588","63,117","63,608","63,897","63,634","63,594","64,072"
".Prairie County, Arkansas","8,722","8,599","8,482","8,375","8,347","8,299","8,252","8,248","8,082","8,062"
".Pulaski County, Arkansas","383,538","386,990","389,225","391,512","392,952","393,576","394,151","393,280","391,918","391,911"
".Randolph County, Arkansas","17,955","17,973","17,840","17,625","17,569","17,437","17,444","17,665","17,970","17,958"
".St. Francis County, Arkansas","28,194","27,994","27,992","27,508","27,088","26,651","26,347","25,997","25,509","24,994"
".Saline County, Arkansas","107,656","109,553","111,442","113,348","114,874","116,390","117,656","119,520","121,074","122,437"
".Scott County, Arkansas","11,275","11,264","11,033","10,934","10,686","10,561","10,332","10,369","10,339","10,281"
".Searcy County, Arkansas","8,182","8,078","8,005","7,991","7,924","7,835","7,968","7,927","7,930","7,881"
".Sebastian County, Arkansas","125,737","127,010","127,571","127,173","126,733","127,385","127,385","127,786","127,570","127,827"
".Sevier County, Arkansas","17,151","17,218","17,188","17,356","17,410","17,262","16,971","17,103","17,061","17,007"
".Sharp County, Arkansas","17,250","17,270","17,034","17,043","16,820","16,808","17,007","17,147","17,290","17,442"
".Stone County, Arkansas","12,389","12,500","12,542","12,423","12,381","12,386","12,509","12,520","12,454","12,506"
".Union County, Arkansas","41,573","41,402","40,861","40,604","40,136","40,086","39,879","39,460","39,139","38,682"
".Van Buren County, Arkansas","17,310","17,214","17,162","16,985","16,907","16,808","16,669","16,552","16,635","16,545"
".Washington County, Arkansas","204,024","208,051","211,756","216,000","219,941","224,434","228,482","232,732","236,611","239,187"
".White County, Arkansas","77,356","78,083","78,641","78,567","78,471","78,915","78,917","78,844","78,381","78,753"
".Woodruff County, Arkansas","7,236","7,164","7,052","7,018","6,860","6,706","6,600","6,575","6,466","6,320"
".Yell County, Arkansas","22,146","21,964","21,824","21,819","21,768","21,506","21,502","21,509","21,462","21,341"
".Alameda County, California","1,512,986","1,530,915","1,553,764","1,579,593","1,607,792","1,634,538","1,650,950","1,660,196","1,666,756","1,671,329"
".Alpine County, California","1,161","1,093","1,110","1,128","1,080","1,077","1,047","1,111","1,089","1,129"
".Amador County, California","37,886","37,543","37,104","36,620","36,726","37,031","37,429","38,529","39,405","39,752"
".Butte County, California","219,949","219,975","220,869","221,641","223,516","224,631","226,231","228,696","230,339","219,186"
".Calaveras County, California","45,468","45,160","44,815","44,655","44,671","44,965","45,322","45,681","45,698","45,905"
".Colusa County, California","21,437","21,323","21,284","21,250","21,176","21,231","21,496","21,579","21,418","21,547"
".Contra Costa County, California","1,052,540","1,065,440","1,077,548","1,093,401","1,108,876","1,124,405","1,137,268","1,145,535","1,150,519","1,153,526"
".Del Norte County, California","28,566","28,443","28,190","27,816","27,175","27,190","27,382","27,351","27,740","27,812"
".El Dorado County, California","181,136","180,936","180,575","181,481","183,108","184,569","185,976","188,679","190,746","192,843"
".Fresno County, California","932,039","939,406","945,045","951,514","960,567","969,488","976,830","985,238","991,950","999,101"
".Glenn County, California","28,127","28,139","27,851","27,809","27,831","27,753","27,840","27,926","27,967","28,393"
".Humboldt County, California","135,009","135,243","134,572","134,403","134,494","135,102","136,290","136,507","136,244","135,558"
".Imperial County, California","174,716","175,786","176,575","176,438","177,974","178,937","180,179","181,649","181,523","181,215"
".Inyo County, California","18,511","18,392","18,351","18,357","18,292","18,108","17,922","17,868","17,946","18,039"
".Kern County, California","840,996","847,970","853,606","862,000","869,176","876,031","880,856","887,356","893,758","900,202"
".Kings County, California","152,370","151,868","150,991","150,337","149,495","150,085","149,382","149,665","151,382","152,940"
".Lake County, California","64,735","64,251","63,954","63,796","64,044","64,260","63,903","64,111","64,317","64,386"
".Lassen County, California","34,831","34,246","33,629","32,129","31,664","31,256","30,721","30,920","30,618","30,573"
".Los Angeles County, California","9,823,246","9,876,482","9,935,375","9,992,484","10,040,072","10,085,416","10,105,708","10,103,711","10,073,906","10,039,107"
".Madera County, California","150,986","151,675","151,527","151,370","153,456","153,576","153,956","155,423","156,882","157,327"
".Marin County, California","252,904","255,376","256,061","258,409","260,359","260,916","260,562","259,749","259,662","258,826"
".Mariposa County, California","18,277","18,170","17,881","17,809","17,714","17,622","17,456","17,414","17,405","17,203"
".Mendocino County, California","87,799","87,334","87,288","87,054","87,225","87,107","87,285","87,576","87,401","86,749"
".Merced County, California","256,721","259,297","260,867","262,026","264,419","266,353","267,628","271,096","274,151","277,680"
".Modoc County, California","9,694","9,509","9,351","9,145","9,068","9,056","8,961","8,876","8,800","8,841"
".Mono County, California","14,257","14,422","14,331","14,067","14,134","14,077","14,273","14,354","14,403","14,444"
".Monterey County, California","416,373","420,456","424,788","426,712","428,475","430,552","433,953","434,534","433,950","434,061"
".Napa County, California","136,759","137,691","138,538","139,580","140,405","140,862","140,840","139,878","138,789","137,744"
".Nevada County, California","98,790","98,701","98,137","97,938","98,572","98,676","98,913","99,367","99,508","99,755"
".Orange County, California","3,015,171","3,049,271","3,078,068","3,104,950","3,126,537","3,149,280","3,164,986","3,174,289","3,175,973","3,175,692"
".Placer County, California","350,021","356,328","360,263","365,398","369,217","372,841","378,943","385,115","392,330","398,329"
".Plumas County, California","19,914","19,719","19,377","18,895","18,622","18,427","18,665","18,660","18,741","18,807"
".Riverside County, California","2,201,576","2,234,070","2,261,204","2,286,755","2,316,162","2,345,816","2,380,081","2,414,964","2,445,789","2,470,546"
".Sacramento County, California","1,421,383","1,433,730","1,444,852","1,457,341","1,474,917","1,493,674","1,510,987","1,527,301","1,538,746","1,552,058"
".San Benito County, California","55,516","55,977","56,599","57,239","57,825","58,216","59,225","60,164","61,467","62,808"
".San Bernardino County, California","2,040,848","2,060,827","2,073,512","2,082,738","2,099,181","2,115,411","2,131,960","2,150,945","2,166,753","2,180,085"
".San Diego County, California","3,103,212","3,137,156","3,174,335","3,209,768","3,248,877","3,280,850","3,306,089","3,321,237","3,333,861","3,338,330"
".San Francisco County, California","805,505","815,650","828,876","839,572","850,750","863,010","871,512","878,040","880,696","881,549"
".San Joaquin County, California","687,127","694,354","699,593","702,046","711,579","722,271","732,809","743,296","752,491","762,148"
".San Luis Obispo County, California","269,802","271,058","274,160","275,696","278,227","280,077","281,803","282,481","283,354","283,111"
".San Mateo County, California","719,699","728,344","739,224","748,661","757,204","765,055","767,906","768,901","768,681","766,573"
".Santa Barbara County, California","424,231","425,453","429,699","434,601","439,045","442,229","444,340","445,298","445,780","446,499"
".Santa Clara County, California","1,786,040","1,812,054","1,837,853","1,866,425","1,891,753","1,916,285","1,928,368","1,932,510","1,932,337","1,927,852"
".Santa Cruz County, California","263,147","264,858","266,340","268,816","270,861","273,503","274,396","274,856","273,841","273,213"
".Shasta County, California","177,274","177,588","177,875","178,397","178,844","178,314","178,571","179,384","179,709","180,080"
".Sierra County, California","3,220","3,098","3,067","3,028","2,972","2,985","2,951","3,002","2,997","3,005"
".Siskiyou County, California","44,938","44,615","44,079","43,532","43,338","43,254","43,376","43,622","43,550","43,539"
".Solano County, California","413,967","416,342","419,674","423,659","429,006","433,409","438,858","443,511","445,725","447,643"
".Sonoma County, California","484,755","487,421","489,993","494,073","498,560","500,863","502,547","502,469","498,643","494,336"
".Stanislaus County, California","515,145","517,560","520,424","523,451","528,015","533,211","539,255","544,717","548,126","550,660"
".Sutter County, California","94,751","94,482","94,189","94,507","94,778","95,282","95,742","96,204","96,348","96,971"
".Tehama County, California","63,559","63,331","63,212","62,875","62,801","63,158","63,453","63,847","64,018","65,084"
".Trinity County, California","13,755","13,685","13,489","13,427","13,128","13,094","12,828","12,726","12,567","12,285"
".Tulare County, California","442,969","446,784","449,779","452,460","455,138","457,161","459,235","462,308","464,589","466,195"
".Tuolumne County, California","55,190","54,830","54,221","53,997","53,851","53,615","53,770","53,976","54,387","54,478"
".Ventura County, California","825,097","830,099","833,516","838,136","842,297","845,802","847,323","849,044","848,142","846,006"
".Yolo County, California","201,073","201,954","204,576","206,292","208,398","212,037","215,627","218,477","220,118","220,500"
".Yuba County, California","72,348","72,489","72,774","73,090","73,533","74,045","74,952","76,578","77,557","78,668"
".Adams County, Colorado","443,691","452,201","460,558","469,978","479,946","490,443","497,734","503,590","511,354","517,421"
".Alamosa County, Colorado","15,515","15,709","15,680","15,787","15,803","15,894","16,053","16,108","16,248","16,233"
".Arapahoe County, Colorado","574,747","585,968","596,500","608,467","619,034","630,984","638,950","644,478","651,797","656,590"
".Archuleta County, Colorado","12,046","12,021","12,132","12,216","12,231","12,387","12,825","13,295","13,730","14,029"
".Baca County, Colorado","3,807","3,778","3,722","3,656","3,587","3,555","3,530","3,554","3,584","3,581"
".Bent County, Colorado","6,500","6,424","5,848","5,761","5,820","5,889","5,833","5,827","5,808","5,577"
".Boulder County, Colorado","295,037","299,957","304,570","309,323","312,233","318,027","321,250","322,441","324,636","326,196"
".Broomfield County, Colorado","56,226","57,493","58,971","60,149","61,764","64,866","66,513","68,263","69,324","70,465"
".Chaffee County, Colorado","17,808","18,028","18,154","18,355","18,451","18,612","19,110","19,666","20,041","20,356"
".Cheyenne County, Colorado","1,833","1,863","1,872","1,879","1,846","1,827","1,850","1,853","1,859","1,831"
".Clear Creek County, Colorado","9,083","9,011","9,018","9,024","9,124","9,244","9,353","9,574","9,604","9,700"
".Conejos County, Colorado","8,312","8,290","8,248","8,199","8,230","8,065","8,050","8,139","8,181","8,205"
".Costilla County, Colorado","3,529","3,641","3,603","3,541","3,561","3,576","3,693","3,756","3,812","3,887"
".Crowley County, Colorado","5,861","5,882","5,467","5,346","5,609","5,628","5,285","5,840","5,957","6,061"
