Areaname,land_area
"Lewis, ID",479.83
"Lincoln, ID",1205.92
"Madison, ID",473.39
"Minidoka, ID",763.03
"Nez Perce, ID",856.4
"Oneida, ID",1201.69
"Owyhee, ID",7697.11
"Payette, ID",410.19
"Power, ID",1442.69
"Shoshone, ID",2635.6
"Teton, ID",450.6
"Twin Falls, ID",1928.57
"Valley, ID",3733.85
"Washington, ID",1473.6
ILLINOIS,57917.84
"Adams, IL",871.32
"Alexander, IL",252.55
"Bond, IL",382.67
"Boone, IL",281.96
"Brown, IL",307.26
"Bureau, IL",873.36
"Calhoun, IL",283.71
"Carroll, IL",465.81
"Cass, IL",383.76
"Champaign, IL",997.56
"Christian, IL",715.71
"Clark, IL",504.91
"Clay, IL",469.87
"Clinton, IL",503.5
"Coles, IL",510.1
"Cook, IL",1634.89
"Crawford, IL",445.77
"Cumberland, IL",347.02
"DeKalb, IL",635.02
"De Witt, IL",405.18
"Douglas, IL",417.44
"DuPage, IL",336.87
"Edgar, IL",624.22
"Edwards, IL",222.67
"Effingham, IL",479.93
"Fayette, IL",725.39
"Ford, IL",486.44
"Franklin, IL",431.42
"Fulton, IL",882.66
"Gallatin, IL",328.42
"Greene, IL",546.37
"Grundy, IL",430.44
"Hamilton, IL",435.86
"Hancock, IL",814.58
"Hardin, IL",181.54
"Henderson, IL",395.15
"Henry, IL",825.64
"Iroquois, IL",1118.11
"Jackson, IL",602.54
"Jasper, IL",498.06
"Jefferson, IL",583.74
"Jersey, IL",377.05
"Jo Daviess, IL",618.79
"Johnson, IL",348.89
"Kane, IL",524.12
"Kankakee, IL",681.49
"Kendall, IL",322.69
"Knox, IL",719.74
"Lake, IL",1368.05
"LaSalle, IL",1148.12
"Lawrence, IL",373.97
"Lee, IL",729.34
"Livingston, IL",1045.49
"Logan, IL",619.04
"McDonough, IL",590.06
"McHenry, IL",611.18
"McLean, IL",1186.33
"Macon, IL",585.4
"Macoupin, IL",867.65
"Madison, IL",740.39
"Marion, IL",575.73
"Marshall, IL",398.53
"Mason, IL",563.41
"Massac, IL",242.13
"Menard, IL",315.4
"Mercer, IL",568.91
"Monroe, IL",397.73
"Montgomery, IL",709.79
"Morgan, IL",572.29
"Moultrie, IL",344.48
"Ogle, IL",763.33
"Peoria, IL",630.91
"Perry, IL",446.84
"Piatt, IL",440.35
"Pike, IL",848.92
"Pope, IL",374.65
"Pulaski, IL",203.34
"Putnam, IL",172.25
"Randolph, IL",597.29
"Richland, IL",362.03
"Rock Island, IL",451.19
"St. Clair, IL",673.99
"Saline, IL",386.99
"Sangamon, IL",877.11
"Schuyler, IL",441.43
"Scott, IL",252.79
"Shelby, IL",768.09
"Stark, IL",288.23
"Stephenson, IL",564.78
"Tazewell, IL",657.94
"Union, IL",422.15
"Vermilion, IL",902.18
"Wabash, IL",227.78
"Warren, IL",543.21
"Washington, IL",564.15
"Wayne, IL",715.6
"White, IL",501.72
"Whiteside, IL",697.06
"Will, IL",849.45
"Williamson, IL",444.4
"Winnebago, IL",519.33
"Woodford, IL",542.78
INDIANA,36420.09
"Adams, IN",339.95
"Allen, IN",660.14
"Bartholomew, IN",409.38
"Benton, IN",406.42
"Blackford, IN",165.42
"Boone, IN",423.31
"Brown, IN",316.65
"Carroll, IN",375.06
"Cass, IN",414.95
"Clark, IN",376.23
"Clay, IN",360.42
"Clinton, IN",405.3
"Crawford, IN",308.87
"Daviess, IN",436.89
"Dearborn, IN",307.08
"Decatur, IN",373.44
"DeKalb, IN",363.87
"Delaware, IN",395.95
"Dubois, IN",435.25
"Elkhart, IN",467.87
"Fayette, IN",215.14
"Floyd, IN",148.33
"Fountain, IN",397.95
"Franklin, IN",391.36
"Fulton, IN",371.39
"Gibson, IN",499.08
"Grant, IN",414.84
"Greene, IN",545.95
"Hamilton, IN",402.75
"Hancock, IN",306.75
"Harrison, IN",486.91
"Hendricks, IN",408.9
"Henry, IN",394.93
"Howard, IN",293.94
"Huntington, IN",387.95
"Jackson, IN",513.79
"Jasper, IN",561.26
"Jay, IN",383.84
"Jefferson, IN",362.97
"Jennings, IN",378.38
"Johnson, IN",321.58
"Knox, IN",524.08
"Kosciusko, IN",554.36
"LaGrange, IN",386.73
"Lake, IN",626.38
"LaPorte, IN",613.09
"Lawrence, IN",452.1
"Madison, IN",452.94
"Marion, IN",403.11
"Marshall, IN",449.95
"Martin, IN",340.55
"Miami, IN",377.38
"Monroe, IN",411.34
"Montgomery, IN",505.39
"Morgan, IN",409.41
