City,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
"Baldwin Park, California",11533,76464,7
"Gary, Indiana",1532,76424,50
"Perris, California",2432,76331,31
"Baytown, Texas",2144,75992,35
"Kalamazoo, Michigan",3079,75984,25
"Layton, Utah",3439,75655,22
"San Ramon, California",4188,75639,18
"Boynton Beach, Florida",4673,75569,16
"Wyoming, Michigan",3067,75567,25
"Gastonia, North Carolina",1496,75536,51
"Arlington Heights, Illinois",4547,75525,17
"Union City, California",3869,75322,19
"Bethlehem, Pennsylvania",3942,75293,19
"Evanston, Illinois",9627,74895,8
"Jonesboro, Arkansas",938,74889,80
"Franklin, Tennessee",1814,74794,41
"Missouri City, Texas",2624,74561,28
"Bolingbrook, Illinois",3098,74518,24
"Schaumburg, Illinois",3873,74446,19
"Camden, New Jersey",8343,74420,9
"Iowa City, Iowa",2975,74398,25
"Warner Robins, Georgia",2121,74388,35
"Appleton, Wisconsin",3057,74370,24
"Rapid City, South Dakota",1336,74048,55
"New Braunfels, Texas",1686,73959,44
"Albany, Georgia",1339,73801,55
"Temple, Texas",1067,73600,69
"Flower Mound, Texas",1777,73547,41
"Rochester Hills, Michigan",2237,73422,33
"Southfield, Michigan",2783,73100,26
"Rock Hill, South Carolina",2042,72937,36
"Turlock, California",4300,72796,17
"Decatur, Illinois",1722,72706,42
"New Britain, Connecticut",5419,72558,13
"Apple Valley, California",991,72553,73
"Bismarck, North Dakota",2348,72417,31
"Missoula, Montana",2630,72364,28
"Waukesha, Wisconsin",2917,72363,25
"Rancho Cordova, California",2158,72326,34
"Gulfport, Mississippi",1297,72076,56
"Lafayette, Indiana",2588,71782,28
"Lauderhill, Florida",8397,71626,9
"Flagstaff, Arizona",1119,71459,64
"Wilmington, Delaware",6554,71442,11
"Pawtucket, Rhode Island",8229,71427,9
"Canton, Ohio",2801,71323,25
"Redlands, California",1973,71288,36
"Lynwood, California",14708,71187,5
"Pittsburg, California",4104,70679,17
"Passaic, New Jersey",22424,70635,3
"Pasco, Washington",2314,70579,31
"Frederick, Maryland",3186,70060,22
"Weston, Florida",2783,70015,25
"North Richland Hills, Texas",3841,69798,18
"Maple Grove, Minnesota",2132,69576,33
"Kissimmee, Florida",3274,69369,21
"Union City, New Jersey",54138,69296,1
"St. Charles, Missouri",2930,69293,24
"Walnut Creek, California",3498,69122,20
"South Jordan, Utah",3131,69034,22
"Muncie, Indiana",2537,69010,27
"Cedar Park, Texas",3016,68918,23
"Woodbury, Minnesota",1982,68820,35
"Palatine, Illinois",5049,68766,14
"Bossier City, Louisiana",1618,68485,42
"Dothan, Alabama",766,68468,89
"Mount Vernon, New York",15568,68344,4
"Eau Claire, Wisconsin",2133,68339,32
