##"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",
##"Note: The 6,222 people in Bedford city, Virginia, which was an independent city as of the 2010 Census, are not included in the April 1, 2010 Census enumerated population presented in the county estimates. In July 2013, the legal status of Bedford changed from a city to a town and it became dependent within (or part of) Bedford County, Virginia. This population of Bedford town is now included in the April 1, 2010 estimates base and all July 1 estimates for Bedford County. Because it is no longer an independent city, Bedford town is not listed in this table. As a result, the sum of the April 1, 2010 census values for Virginia counties and independent cities does not equal the 2010 Census count for Virginia, and the sum of April 1, 2010 census values for all counties and independent cities in the United States does not equal the 2010 Census count for the United States. Substantial geographic changes to counties can be found on the Census Bureau website at https://www.census.gov/programs-surveys/geography/technical-documentation/county-changes.html.",
##"Suggested Citation:",
##"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES)",
##"Source: U.S. Census Bureau, Population Division",
"county","population"
".Solano County, California","447,643"
".Sonoma County, California","494,336"
".Stanislaus County, California","550,660"
".Sutter County, California","96,971"
".Tehama County, California","65,084"
".Trinity County, California","12,285"
".Tulare County, California","466,195"
".Tuolumne County, California","54,478"
".Ventura County, California","846,006"
".Yolo County, California","220,500"
".Yuba County, California","78,668"
".Adams County, Colorado","517,421"
".Alamosa County, Colorado","16,233"
".Arapahoe County, Colorado","656,590"
".Archuleta County, Colorado","14,029"
".Baca County, Colorado","3,581"
".Bent County, Colorado","5,577"
".Boulder County, Colorado","326,196"
".Broomfield County, Colorado","70,465"
".Chaffee County, Colorado","20,356"
".Cheyenne County, Colorado","1,831"
".Clear Creek County, Colorado","9,700"
".Conejos County, Colorado","8,205"
".Costilla County, Colorado","3,887"
".Crowley County, Colorado","6,061"
".Custer County, Colorado","5,068"
".Delta County, Colorado","31,162"
".Denver County, Colorado","727,211"
".Dolores County, Colorado","2,055"
".Douglas County, Colorado","351,154"
".Eagle County, Colorado","55,127"
".Elbert County, Colorado","26,729"
".El Paso County, Colorado","720,403"
".Fremont County, Colorado","47,839"
".Garfield County, Colorado","60,061"
".Gilpin County, Colorado","6,243"
".Grand County, Colorado","15,734"
".Gunnison County, Colorado","17,462"
".Hinsdale County, Colorado",820
".Huerfano County, Colorado","6,897"
".Jackson County, Colorado","1,392"
".Jefferson County, Colorado","582,881"
".Kiowa County, Colorado","1,406"
".Kit Carson County, Colorado","7,097"
".Lake County, Colorado","8,127"
".La Plata County, Colorado","56,221"
".Larimer County, Colorado","356,899"
".Las Animas County, Colorado","14,506"
".Lincoln County, Colorado","5,701"
".Logan County, Colorado","22,409"
".Mesa County, Colorado","154,210"
".Mineral County, Colorado",769
".Moffat County, Colorado","13,283"
".Montezuma County, Colorado","26,183"
".Montrose County, Colorado","42,758"
".Morgan County, Colorado","29,068"
".Otero County, Colorado","18,278"
".Ouray County, Colorado","4,952"
".Park County, Colorado","18,845"
".Phillips County, Colorado","4,265"
".Pitkin County, Colorado","17,767"
".Prowers County, Colorado","12,172"
".Pueblo County, Colorado","168,424"
".Rio Blanco County, Colorado","6,324"
".Rio Grande County, Colorado","11,267"
".Routt County, Colorado","25,638"
".Saguache County, Colorado","6,824"
".San Juan County, Colorado",728
".San Miguel County, Colorado","8,179"
".Sedgwick County, Colorado","2,248"
".Summit County, Colorado","31,011"
".Teller County, Colorado","25,388"
".Washington County, Colorado","4,908"
".Weld County, Colorado","324,492"
".Yuma County, Colorado","10,019"
".Fairfield County, Connecticut","943,332"
".Hartford County, Connecticut","891,720"
".Litchfield County, Connecticut","180,333"
".Middlesex County, Connecticut","162,436"
".New Haven County, Connecticut","854,757"
".New London County, Connecticut","265,206"
".Tolland County, Connecticut","150,721"
".Windham County, Connecticut","116,782"
".Kent County, Delaware","180,786"
".New Castle County, Delaware","558,753"
".Sussex County, Delaware","234,225"
".District of Columbia, District of Columbia","705,749"
".Alachua County, Florida","269,043"
".Baker County, Florida","29,210"
".Bay County, Florida","174,705"
".Bradford County, Florida","28,201"
".Brevard County, Florida","601,942"
".Broward County, Florida","1,952,778"
".Calhoun County, Florida","14,105"
".Charlotte County, Florida","188,910"
".Citrus County, Florida","149,657"
".Clay County, Florida","219,252"
".Collier County, Florida","384,902"
".Columbia County, Florida","71,686"
".DeSoto County, Florida","38,001"
".Dixie County, Florida","16,826"
".Duval County, Florida","957,755"
".Escambia County, Florida","318,316"
".Flagler County, Florida","115,081"
".Franklin County, Florida","12,125"
".Gadsden County, Florida","45,660"
".Gilchrist County, Florida","18,582"
".Glades County, Florida","13,811"
".Gulf County, Florida","13,639"
".Hamilton County, Florida","14,428"
".Hardee County, Florida","26,937"
".Hendry County, Florida","42,022"
".Hernando County, Florida","193,920"
".Highlands County, Florida","106,221"
".Hillsborough County, Florida","1,471,968"
".Holmes County, Florida","19,617"
".Indian River County, Florida","159,923"
".Jackson County, Florida","46,414"
".Jefferson County, Florida","14,246"
".Lafayette County, Florida","8,422"
".Lake County, Florida","367,118"
".Lee County, Florida","770,577"
".Leon County, Florida","293,582"
".Levy County, Florida","41,503"
".Liberty County, Florida","8,354"
".Madison County, Florida","18,493"
".Manatee County, Florida","403,253"
".Marion County, Florida","365,579"
".Martin County, Florida","161,000"
".Miami-Dade County, Florida","2,716,940"
".Monroe County, Florida","74,228"
".Nassau County, Florida","88,625"
".Okaloosa County, Florida","210,738"
".Okeechobee County, Florida","42,168"
".Orange County, Florida","1,393,452"
".Osceola County, Florida","375,751"
".Palm Beach County, Florida","1,496,770"
".Pasco County, Florida","553,947"
".Pinellas County, Florida","974,996"
".Polk County, Florida","724,777"
".Putnam County, Florida","74,521"
".St. Johns County, Florida","264,672"
".St. Lucie County, Florida","328,297"
".Santa Rosa County, Florida","184,313"
".Sarasota County, Florida","433,742"
".Seminole County, Florida","471,826"
".Sumter County, Florida","132,420"
".Suwannee County, Florida","44,417"
".Taylor County, Florida","21,569"
".Union County, Florida","15,237"
".Volusia County, Florida","553,284"
".Wakulla County, Florida","33,739"
".Walton County, Florida","74,071"
".Washington County, Florida","25,473"
".Appling County, Georgia","18,386"
".Atkinson County, Georgia","8,165"
".Bacon County, Georgia","11,164"
".Baker County, Georgia","3,038"
".Baldwin County, Georgia","44,890"
".Banks County, Georgia","19,234"
".Barrow County, Georgia","83,240"
".Bartow County, Georgia","107,738"
".Ben Hill County, Georgia","16,700"
".Berrien County, Georgia","19,397"
".Bibb County, Georgia","153,159"
".Bleckley County, Georgia","12,873"
".Brantley County, Georgia","19,109"
".Brooks County, Georgia","15,457"
".Bryan County, Georgia","39,627"
".Bulloch County, Georgia","79,608"
".Burke County, Georgia","22,383"
".Butts County, Georgia","24,936"
".Calhoun County, Georgia","6,189"
".Camden County, Georgia","54,666"
".Candler County, Georgia","10,803"
".Carroll County, Georgia","119,992"
".Catoosa County, Georgia","67,580"
".Charlton County, Georgia","13,392"
".Chatham County, Georgia","289,430"
".Chattahoochee County, Georgia","10,907"
".Chattooga County, Georgia","24,789"
".Cherokee County, Georgia","258,773"
".Clarke County, Georgia","128,331"
".Clay County, Georgia","2,834"
".Clayton County, Georgia","292,256"
".Clinch County, Georgia","6,618"
".Cobb County, Georgia","760,141"
".Coffee County, Georgia","43,273"
".Colquitt County, Georgia","45,600"
".Columbia County, Georgia","156,714"
".Cook County, Georgia","17,270"
".Coweta County, Georgia","148,509"
".Crawford County, Georgia","12,404"
".Crisp County, Georgia","22,372"
".Dade County, Georgia","16,116"
".Dawson County, Georgia","26,108"
".Decatur County, Georgia","26,404"
".DeKalb County, Georgia","759,297"
".Dodge County, Georgia","20,605"
".Dooly County, Georgia","13,390"
".Dougherty County, Georgia","87,956"
".Douglas County, Georgia","146,343"
".Early County, Georgia","10,190"
".Echols County, Georgia","4,006"
".Effingham County, Georgia","64,296"
".Elbert County, Georgia","19,194"
".Emanuel County, Georgia","22,646"
".Evans County, Georgia","10,654"
".Fannin County, Georgia","26,188"
".Fayette County, Georgia","114,421"
".Floyd County, Georgia","98,498"
".Forsyth County, Georgia","244,252"
".Franklin County, Georgia","23,349"
".Fulton County, Georgia","1,063,937"
".Gilmer County, Georgia","31,369"
".Glascock County, Georgia","2,971"
".Glynn County, Georgia","85,292"
".Gordon County, Georgia","57,963"
".Grady County, Georgia","24,633"
".Greene County, Georgia","18,324"
".Gwinnett County, Georgia","936,250"
".Habersham County, Georgia","45,328"
".Hall County, Georgia","204,441"
".Hancock County, Georgia","8,457"
".Haralson County, Georgia","29,792"
".Harris County, Georgia","35,236"
".Hart County, Georgia","26,205"
".Heard County, Georgia","11,923"
".Henry County, Georgia","234,561"
".Houston County, Georgia","157,863"
".Irwin County, Georgia","9,416"
".Jackson County, Georgia","72,977"
".Jasper County, Georgia","14,219"
".Jeff Davis County, Georgia","15,115"
".Jefferson County, Georgia","15,362"
".Jenkins County, Georgia","8,676"
".Johnson County, Georgia","9,643"
".Jones County, Georgia","28,735"
".Lamar County, Georgia","19,077"
".Lanier County, Georgia","10,423"
".Laurens County, Georgia","47,546"
".Lee County, Georgia","29,992"
".Liberty County, Georgia","61,435"
".Lincoln County, Georgia","7,921"
".Long County, Georgia","19,559"
".Lowndes County, Georgia","117,406"
".Lumpkin County, Georgia","33,610"
".McDuffie County, Georgia","21,312"
".McIntosh County, Georgia","14,378"
".Macon County, Georgia","12,947"
".Madison County, Georgia","29,880"
".Marion County, Georgia","8,359"
".Meriwether County, Georgia","21,167"
".Miller County, Georgia","5,718"
".Mitchell County, Georgia","21,863"
".Monroe County, Georgia","27,578"
".Montgomery County, Georgia","9,172"
".Morgan County, Georgia","19,276"
".Murray County, Georgia","40,096"
".Muscogee County, Georgia","195,769"
".Newton County, Georgia","111,744"
".Oconee County, Georgia","40,280"
".Oglethorpe County, Georgia","15,259"
".Paulding County, Georgia","168,667"
".Peach County, Georgia","27,546"
".Pickens County, Georgia","32,591"
".Pierce County, Georgia","19,465"
".Pike County, Georgia","18,962"
".Polk County, Georgia","42,613"
".Pulaski County, Georgia","11,137"
".Putnam County, Georgia","22,119"
".Quitman County, Georgia","2,299"
".Rabun County, Georgia","17,137"
".Randolph County, Georgia","6,778"
".Richmond County, Georgia","202,518"
".Rockdale County, Georgia","90,896"
".Schley County, Georgia","5,257"
".Screven County, Georgia","13,966"
".Seminole County, Georgia","8,090"
".Spalding County, Georgia","66,703"
".Stephens County, Georgia","25,925"
".Stewart County, Georgia","6,621"
".Sumter County, Georgia","29,524"
".Talbot County, Georgia","6,195"
".Taliaferro County, Georgia","1,537"
".Tattnall County, Georgia","25,286"
".Taylor County, Georgia","8,020"
".Telfair County, Georgia","15,860"
".Terrell County, Georgia","8,531"
".Thomas County, Georgia","44,451"
".Tift County, Georgia","40,644"
".Toombs County, Georgia","26,830"
".Towns County, Georgia","12,037"
".Treutlen County, Georgia","6,901"
".Troup County, Georgia","69,922"
".Turner County, Georgia","7,985"
".Twiggs County, Georgia","8,120"
".Union County, Georgia","24,511"
".Upson County, Georgia","26,320"
".Walker County, Georgia","69,761"
".Walton County, Georgia","94,593"
".Ware County, Georgia","35,734"
".Warren County, Georgia","5,254"
".Washington County, Georgia","20,374"
".Wayne County, Georgia","29,927"
".Webster County, Georgia","2,607"
".Wheeler County, Georgia","7,855"
".White County, Georgia","30,798"
".Whitfield County, Georgia","104,628"
".Wilcox County, Georgia","8,635"
".Wilkes County, Georgia","9,777"
".Wilkinson County, Georgia","8,954"
".Worth County, Georgia","20,247"
".Hawaii County, Hawaii","201,513"
".Honolulu County, Hawaii","974,563"
".Kalawao County, Hawaii",86
".Kauai County, Hawaii","72,293"
".Maui County, Hawaii","167,417"
".Ada County, Idaho","481,587"
".Adams County, Idaho","4,294"
".Bannock County, Idaho","87,808"
".Bear Lake County, Idaho","6,125"
".Benewah County, Idaho","9,298"
".Bingham County, Idaho","46,811"
".Blaine County, Idaho","23,021"
".Boise County, Idaho","7,831"
".Bonner County, Idaho","45,739"
".Bonneville County, Idaho","119,062"
".Boundary County, Idaho","12,245"
".Butte County, Idaho","2,597"
".Camas County, Idaho","1,106"
".Canyon County, Idaho","229,849"
".Caribou County, Idaho","7,155"
".Cassia County, Idaho","24,030"
".Clark County, Idaho",845
".Clearwater County, Idaho","8,756"
