##"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",
##"Note: The 6,222 people in Bedford city, Virginia, which was an independent city as of the 2010 Census, are not included in the April 1, 2010 Census enumerated population presented in the county estimates. In July 2013, the legal status of Bedford changed from a city to a town and it became dependent within (or part of) Bedford County, Virginia. This population of Bedford town is now included in the April 1, 2010 estimates base and all July 1 estimates for Bedford County. Because it is no longer an independent city, Bedford town is not listed in this table. As a result, the sum of the April 1, 2010 census values for Virginia counties and independent cities does not equal the 2010 Census count for Virginia, and the sum of April 1, 2010 census values for all counties and independent cities in the United States does not equal the 2010 Census count for the United States. Substantial geographic changes to counties can be found on the Census Bureau website at https://www.census.gov/programs-surveys/geography/technical-documentation/county-changes.html.",
##"Suggested Citation:",
##"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES)",
##"Source: U.S. Census Bureau, Population Division",
"county","population"
".Leflore County, Mississippi","28,183"
".Lincoln County, Mississippi","34,153"
".Lowndes County, Mississippi","58,595"
".Madison County, Mississippi","106,272"
".Marion County, Mississippi","24,573"
".Marshall County, Mississippi","35,294"
".Monroe County, Mississippi","35,252"
".Montgomery County, Mississippi","9,775"
".Neshoba County, Mississippi","29,118"
".Newton County, Mississippi","21,018"
".Noxubee County, Mississippi","10,417"
".Oktibbeha County, Mississippi","49,587"
".Panola County, Mississippi","34,192"
".Pearl River County, Mississippi","55,535"
".Perry County, Mississippi","11,973"
".Pike County, Mississippi","39,288"
".Pontotoc County, Mississippi","32,174"
".Prentiss County, Mississippi","25,126"
".Quitman County, Mississippi","6,792"
".Rankin County, Mississippi","155,271"
".Scott County, Mississippi","28,124"
".Sharkey County, Mississippi","4,321"
".Simpson County, Mississippi","26,658"
".Smith County, Mississippi","15,916"
".Stone County, Mississippi","18,336"
".Sunflower County, Mississippi","25,110"
".Tallahatchie County, Mississippi","13,809"
".Tate County, Mississippi","28,321"
".Tippah County, Mississippi","22,015"
".Tishomingo County, Mississippi","19,383"
".Tunica County, Mississippi","9,632"
".Union County, Mississippi","28,815"
".Walthall County, Mississippi","14,286"
".Warren County, Mississippi","45,381"
".Washington County, Mississippi","43,909"
".Wayne County, Mississippi","20,183"
".Webster County, Mississippi","9,689"
".Wilkinson County, Mississippi","8,630"
".Winston County, Mississippi","17,955"
".Yalobusha County, Mississippi","12,108"
".Yazoo County, Mississippi","29,690"
".Adair County, Missouri","25,343"
".Andrew County, Missouri","17,712"
".Atchison County, Missouri","5,143"
".Audrain County, Missouri","25,388"
".Barry County, Missouri","35,789"
".Barton County, Missouri","11,754"
".Bates County, Missouri","16,172"
".Benton County, Missouri","19,443"
".Bollinger County, Missouri","12,133"
".Boone County, Missouri","180,463"
".Buchanan County, Missouri","87,364"
".Butler County, Missouri","42,478"
".Caldwell County, Missouri","9,020"
".Callaway County, Missouri","44,743"
".Camden County, Missouri","46,305"
".Cape Girardeau County, Missouri","78,871"
".Carroll County, Missouri","8,679"
".Carter County, Missouri","5,982"
".Cass County, Missouri","105,780"
".Cedar County, Missouri","14,349"
".Chariton County, Missouri","7,426"
".Christian County, Missouri","88,595"
".Clark County, Missouri","6,797"
".Clay County, Missouri","249,948"
".Clinton County, Missouri","20,387"
".Cole County, Missouri","76,745"
".Cooper County, Missouri","17,709"
".Crawford County, Missouri","23,920"
".Dade County, Missouri","7,561"
".Dallas County, Missouri","16,878"
".Daviess County, Missouri","8,278"
".DeKalb County, Missouri","12,547"
".Dent County, Missouri","15,573"
".Douglas County, Missouri","13,185"
".Dunklin County, Missouri","29,131"
".Franklin County, Missouri","103,967"
".Gasconade County, Missouri","14,706"
".Gentry County, Missouri","6,571"
".Greene County, Missouri","293,086"
".Grundy County, Missouri","9,850"
".Harrison County, Missouri","8,352"
".Henry County, Missouri","21,824"
".Hickory County, Missouri","9,544"
".Holt County, Missouri","4,403"
".Howard County, Missouri","10,001"
".Howell County, Missouri","40,117"
".Iron County, Missouri","10,125"
".Jackson County, Missouri","703,011"
".Jasper County, Missouri","121,328"
".Jefferson County, Missouri","225,081"
".Johnson County, Missouri","54,062"
".Knox County, Missouri","3,959"
".Laclede County, Missouri","35,723"
".Lafayette County, Missouri","32,708"
".Lawrence County, Missouri","38,355"
".Lewis County, Missouri","9,776"
".Lincoln County, Missouri","59,013"
".Linn County, Missouri","11,920"
".Livingston County, Missouri","15,227"
".McDonald County, Missouri","22,837"
".Macon County, Missouri","15,117"
".Madison County, Missouri","12,088"
".Maries County, Missouri","8,697"
".Marion County, Missouri","28,530"
".Mercer County, Missouri","3,617"
".Miller County, Missouri","25,619"
".Mississippi County, Missouri","13,180"
".Moniteau County, Missouri","16,132"
".Monroe County, Missouri","8,644"
".Montgomery County, Missouri","11,551"
".Morgan County, Missouri","20,627"
".New Madrid County, Missouri","17,076"
".Newton County, Missouri","58,236"
".Nodaway County, Missouri","22,092"
".Oregon County, Missouri","10,529"
".Osage County, Missouri","13,615"
".Ozark County, Missouri","9,174"
".Pemiscot County, Missouri","15,805"
".Perry County, Missouri","19,136"
".Pettis County, Missouri","42,339"
".Phelps County, Missouri","44,573"
".Pike County, Missouri","18,302"
".Platte County, Missouri","104,418"
".Polk County, Missouri","32,149"
".Pulaski County, Missouri","52,607"
".Putnam County, Missouri","4,696"
".Ralls County, Missouri","10,309"
".Randolph County, Missouri","24,748"
".Ray County, Missouri","23,018"
".Reynolds County, Missouri","6,270"
".Ripley County, Missouri","13,288"
".St. Charles County, Missouri","402,022"
".St. Clair County, Missouri","9,397"
".Ste. Genevieve County, Missouri","17,894"
".St. Francois County, Missouri","67,215"
".St. Louis County, Missouri","994,205"
".Saline County, Missouri","22,761"
".Schuyler County, Missouri","4,660"
".Scotland County, Missouri","4,902"
".Scott County, Missouri","38,280"
".Shannon County, Missouri","8,166"
".Shelby County, Missouri","5,930"
".Stoddard County, Missouri","29,025"
".Stone County, Missouri","31,952"
".Sullivan County, Missouri","6,089"
".Taney County, Missouri","55,928"
".Texas County, Missouri","25,398"
".Vernon County, Missouri","20,563"
".Warren County, Missouri","35,649"
".Washington County, Missouri","24,730"
".Wayne County, Missouri","12,873"
".Webster County, Missouri","39,592"
".Worth County, Missouri","2,013"
".Wright County, Missouri","18,289"
".St. Louis city, Missouri","300,576"
".Beaverhead County, Montana","9,453"
".Big Horn County, Montana","13,319"
".Blaine County, Montana","6,681"
".Broadwater County, Montana","6,237"
".Carbon County, Montana","10,725"
".Carter County, Montana","1,252"
".Cascade County, Montana","81,366"
".Chouteau County, Montana","5,635"
".Custer County, Montana","11,402"
".Daniels County, Montana","1,690"
".Dawson County, Montana","8,613"
".Deer Lodge County, Montana","9,140"
".Fallon County, Montana","2,846"
".Fergus County, Montana","11,050"
".Flathead County, Montana","103,806"
".Gallatin County, Montana","114,434"
".Garfield County, Montana","1,258"
".Glacier County, Montana","13,753"
".Golden Valley County, Montana",821
".Granite County, Montana","3,379"
".Hill County, Montana","16,484"
".Jefferson County, Montana","12,221"
".Judith Basin County, Montana","2,007"
".Lake County, Montana","30,458"
".Lewis and Clark County, Montana","69,432"
".Liberty County, Montana","2,337"
".Lincoln County, Montana","19,980"
".McCone County, Montana","1,664"
".Madison County, Montana","8,600"
".Meagher County, Montana","1,862"
".Mineral County, Montana","4,397"
".Missoula County, Montana","119,600"
".Musselshell County, Montana","4,633"
".Park County, Montana","16,606"
".Petroleum County, Montana",487
".Phillips County, Montana","3,954"
".Pondera County, Montana","5,911"
".Powder River County, Montana","1,682"
".Powell County, Montana","6,890"
".Prairie County, Montana","1,077"
".Ravalli County, Montana","43,806"
".Richland County, Montana","10,803"
".Roosevelt County, Montana","11,004"
".Rosebud County, Montana","8,937"
".Sanders County, Montana","12,113"
".Sheridan County, Montana","3,309"
".Silver Bow County, Montana","34,915"
".Stillwater County, Montana","9,642"
".Sweet Grass County, Montana","3,737"
".Teton County, Montana","6,147"
".Toole County, Montana","4,736"
".Treasure County, Montana",696
".Valley County, Montana","7,396"
".Wheatland County, Montana","2,126"
".Wibaux County, Montana",969
".Yellowstone County, Montana","161,300"
".Adams County, Nebraska","31,363"
".Antelope County, Nebraska","6,298"
".Arthur County, Nebraska",463
".Banner County, Nebraska",745
".Blaine County, Nebraska",465
".Boone County, Nebraska","5,192"
".Box Butte County, Nebraska","10,783"
".Boyd County, Nebraska","1,919"
".Brown County, Nebraska","2,955"
".Buffalo County, Nebraska","49,659"
".Burt County, Nebraska","6,459"
".Butler County, Nebraska","8,016"
".Cass County, Nebraska","26,248"
".Cedar County, Nebraska","8,402"
".Chase County, Nebraska","3,924"
".Cherry County, Nebraska","5,689"
".Cheyenne County, Nebraska","8,910"
".Clay County, Nebraska","6,203"
".Colfax County, Nebraska","10,709"
".Cuming County, Nebraska","8,846"
".Custer County, Nebraska","10,777"
".Dakota County, Nebraska","20,026"
".Dawes County, Nebraska","8,589"
".Dawson County, Nebraska","23,595"
".Deuel County, Nebraska","1,794"
".Dixon County, Nebraska","5,636"
".Dodge County, Nebraska","36,565"
".Douglas County, Nebraska","571,327"
".Dundy County, Nebraska","1,693"
".Fillmore County, Nebraska","5,462"
".Franklin County, Nebraska","2,979"
".Frontier County, Nebraska","2,627"
".Furnas County, Nebraska","4,676"
".Gage County, Nebraska","21,513"
".Garden County, Nebraska","1,837"
".Garfield County, Nebraska","1,969"
".Gosper County, Nebraska","1,990"
".Grant County, Nebraska",623
".Greeley County, Nebraska","2,356"
".Hall County, Nebraska","61,353"
".Hamilton County, Nebraska","9,324"
".Harlan County, Nebraska","3,380"
".Hayes County, Nebraska",922
".Hitchcock County, Nebraska","2,762"
".Holt County, Nebraska","10,067"
".Hooker County, Nebraska",682
".Howard County, Nebraska","6,445"
".Jefferson County, Nebraska","7,046"
".Johnson County, Nebraska","5,071"
".Kearney County, Nebraska","6,495"
".Keith County, Nebraska","8,034"
".Keya Paha County, Nebraska",806
".Kimball County, Nebraska","3,632"
".Knox County, Nebraska","8,332"
".Lancaster County, Nebraska","319,090"
".Lincoln County, Nebraska","34,914"
".Logan County, Nebraska",748
".Loup County, Nebraska",664
".McPherson County, Nebraska",494
".Madison County, Nebraska","35,099"
".Merrick County, Nebraska","7,755"
".Morrill County, Nebraska","4,642"
".Nance County, Nebraska","3,519"
".Nemaha County, Nebraska","6,972"
".Nuckolls County, Nebraska","4,148"
".Otoe County, Nebraska","16,012"
".Pawnee County, Nebraska","2,613"
".Perkins County, Nebraska","2,891"
".Phelps County, Nebraska","9,034"
".Pierce County, Nebraska","7,148"
".Platte County, Nebraska","33,470"
".Polk County, Nebraska","5,213"
".Red Willow County, Nebraska","10,724"
".Richardson County, Nebraska","7,865"
".Rock County, Nebraska","1,357"
".Saline County, Nebraska","14,224"
".Sarpy County, Nebraska","187,196"
".Saunders County, Nebraska","21,578"
".Scotts Bluff County, Nebraska","35,618"
".Seward County, Nebraska","17,284"
".Sheridan County, Nebraska","5,246"
".Sherman County, Nebraska","3,001"
".Sioux County, Nebraska","1,166"
".Stanton County, Nebraska","5,920"
".Thayer County, Nebraska","5,003"
".Thomas County, Nebraska",722
".Thurston County, Nebraska","7,224"
".Valley County, Nebraska","4,158"
".Washington County, Nebraska","20,729"
".Wayne County, Nebraska","9,385"
".Webster County, Nebraska","3,487"
".Wheeler County, Nebraska",783
".York County, Nebraska","13,679"
".Churchill County, Nevada","24,909"
".Clark County, Nevada","2,266,715"
".Douglas County, Nevada","48,905"
".Elko County, Nevada","52,778"
".Esmeralda County, Nevada",873
".Eureka County, Nevada","2,029"
".Humboldt County, Nevada","16,831"
".Lander County, Nevada","5,532"
".Lincoln County, Nevada","5,183"
".Lyon County, Nevada","57,510"
".Mineral County, Nevada","4,505"
".Nye County, Nevada","46,523"
".Pershing County, Nevada","6,725"
".Storey County, Nevada","4,123"
".Washoe County, Nevada","471,519"
".White Pine County, Nevada","9,580"
".Carson City, Nevada","55,916"
".Belknap County, New Hampshire","61,303"
".Carroll County, New Hampshire","48,910"
".Cheshire County, New Hampshire","76,085"
".Coos County, New Hampshire","31,563"
".Grafton County, New Hampshire","89,886"
".Hillsborough County, New Hampshire","417,025"
".Merrimack County, New Hampshire","151,391"
".Rockingham County, New Hampshire","309,769"
".Strafford County, New Hampshire","130,633"
".Sullivan County, New Hampshire","43,146"
".Atlantic County, New Jersey","263,670"
".Bergen County, New Jersey","932,202"
".Burlington County, New Jersey","445,349"
".Camden County, New Jersey","506,471"
".Cape May County, New Jersey","92,039"
".Cumberland County, New Jersey","149,527"
".Essex County, New Jersey","798,975"
".Gloucester County, New Jersey","291,636"
".Hudson County, New Jersey","672,391"
".Hunterdon County, New Jersey","124,371"
".Mercer County, New Jersey","367,430"
".Middlesex County, New Jersey","825,062"
".Monmouth County, New Jersey","618,795"
".Morris County, New Jersey","491,845"
".Ocean County, New Jersey","607,186"
".Passaic County, New Jersey","501,826"
".Salem County, New Jersey","62,385"
".Somerset County, New Jersey","328,934"
".Sussex County, New Jersey","140,488"
".Union County, New Jersey","556,341"
".Warren County, New Jersey","105,267"
".Bernalillo County, New Mexico","679,121"
".Catron County, New Mexico","3,527"
".Chaves County, New Mexico","64,615"
".Cibola County, New Mexico","26,675"
".Colfax County, New Mexico","11,941"
".Curry County, New Mexico","48,954"
".De Baca County, New Mexico","1,748"
".Doña Ana County, New Mexico","218,195"
".Eddy County, New Mexico","58,460"
".Grant County, New Mexico","26,998"
".Guadalupe County, New Mexico","4,300"
".Harding County, New Mexico",625
".Hidalgo County, New Mexico","4,198"
".Lea County, New Mexico","71,070"
".Lincoln County, New Mexico","19,572"
".Los Alamos County, New Mexico","19,369"
".Luna County, New Mexico","23,709"
".McKinley County, New Mexico","71,367"
".Mora County, New Mexico","4,521"
".Otero County, New Mexico","67,490"
".Quay County, New Mexico","8,253"
".Rio Arriba County, New Mexico","38,921"
".Roosevelt County, New Mexico","18,500"
".Sandoval County, New Mexico","146,748"
".San Juan County, New Mexico","123,958"
".San Miguel County, New Mexico","27,277"
".Santa Fe County, New Mexico","150,358"
".Sierra County, New Mexico","10,791"
".Socorro County, New Mexico","16,637"
".Taos County, New Mexico","32,723"
".Torrance County, New Mexico","15,461"
".Union County, New Mexico","4,059"
".Valencia County, New Mexico","76,688"
".Albany County, New York","305,506"
".Allegany County, New York","46,091"
".Bronx County, New York","1,418,207"
".Broome County, New York","190,488"
".Cattaraugus County, New York","76,117"
".Cayuga County, New York","76,576"
".Chautauqua County, New York","126,903"
".Chemung County, New York","83,456"
".Chenango County, New York","47,207"
".Clinton County, New York","80,485"
".Columbia County, New York","59,461"
".Cortland County, New York","47,581"
".Delaware County, New York","44,135"
".Dutchess County, New York","294,218"
".Erie County, New York","918,702"
".Essex County, New York","36,885"
".Franklin County, New York","50,022"
".Fulton County, New York","53,383"
".Genesee County, New York","57,280"
".Greene County, New York","47,188"
".Hamilton County, New York","4,416"
".Herkimer County, New York","61,319"
".Jefferson County, New York","109,834"
".Kings County, New York","2,559,903"
".Lewis County, New York","26,296"
".Livingston County, New York","62,914"
".Madison County, New York","70,941"
".Monroe County, New York","741,770"
".Montgomery County, New York","49,221"
".Nassau County, New York","1,356,924"
".New York County, New York","1,628,706"
".Niagara County, New York","209,281"
".Oneida County, New York","228,671"
".Onondaga County, New York","460,528"
".Ontario County, New York","109,777"
".Orange County, New York","384,940"
".Orleans County, New York","40,352"
".Oswego County, New York","117,124"
".Otsego County, New York","59,493"
".Putnam County, New York","98,320"
".Queens County, New York","2,253,858"
".Rensselaer County, New York","158,714"
".Richmond County, New York","476,143"
".Rockland County, New York","325,789"
".St. Lawrence County, New York","107,740"
".Saratoga County, New York","229,863"
".Schenectady County, New York","155,299"
".Schoharie County, New York","30,999"
".Schuyler County, New York","17,807"
".Seneca County, New York","34,016"
".Steuben County, New York","95,379"
".Suffolk County, New York","1,476,601"
".Sullivan County, New York","75,432"
".Tioga County, New York","48,203"
".Tompkins County, New York","102,180"
".Ulster County, New York","177,573"
".Warren County, New York","63,944"
".Washington County, New York","61,204"
".Wayne County, New York","89,918"
".Westchester County, New York","967,506"
".Wyoming County, New York","39,859"
".Yates County, New York","24,913"
".Alamance County, North Carolina","169,509"
".Alexander County, North Carolina","37,497"
".Alleghany County, North Carolina","11,137"
".Anson County, North Carolina","24,446"
".Ashe County, North Carolina","27,203"
".Avery County, North Carolina","17,557"
".Beaufort County, North Carolina","46,994"
".Bertie County, North Carolina","18,947"
".Bladen County, North Carolina","32,722"
".Brunswick County, North Carolina","142,820"
".Buncombe County, North Carolina","261,191"
".Burke County, North Carolina","90,485"
".Cabarrus County, North Carolina","216,453"
".Caldwell County, North Carolina","82,178"
".Camden County, North Carolina","10,867"
".Carteret County, North Carolina","69,473"
".Caswell County, North Carolina","22,604"
".Catawba County, North Carolina","159,551"
".Chatham County, North Carolina","74,470"
".Cherokee County, North Carolina","28,612"
".Chowan County, North Carolina","13,943"
".Clay County, North Carolina","11,231"
".Cleveland County, North Carolina","97,947"
".Columbus County, North Carolina","55,508"
".Craven County, North Carolina","102,139"
".Cumberland County, North Carolina","335,509"
".Currituck County, North Carolina","27,763"
".Dare County, North Carolina","37,009"
".Davidson County, North Carolina","167,609"
".Davie County, North Carolina","42,846"
".Duplin County, North Carolina","58,741"
".Durham County, North Carolina","321,488"
".Edgecombe County, North Carolina","51,472"
".Forsyth County, North Carolina","382,295"
".Franklin County, North Carolina","69,685"
".Gaston County, North Carolina","224,529"
".Gates County, North Carolina","11,562"
".Graham County, North Carolina","8,441"
".Granville County, North Carolina","60,443"
".Greene County, North Carolina","21,069"
".Guilford County, North Carolina","537,174"
".Halifax County, North Carolina","50,010"
".Harnett County, North Carolina","135,976"
".Haywood County, North Carolina","62,317"
".Henderson County, North Carolina","117,417"
".Hertford County, North Carolina","23,677"
".Hoke County, North Carolina","55,234"
".Hyde County, North Carolina","4,937"
".Iredell County, North Carolina","181,806"
".Jackson County, North Carolina","43,938"
".Johnston County, North Carolina","209,339"
".Jones County, North Carolina","9,419"
".Lee County, North Carolina","61,779"
".Lenoir County, North Carolina","55,949"
".Lincoln County, North Carolina","86,111"
".McDowell County, North Carolina","45,756"
".Macon County, North Carolina","35,858"
".Madison County, North Carolina","21,755"
".Martin County, North Carolina","22,440"
".Mecklenburg County, North Carolina","1,110,356"
".Mitchell County, North Carolina","14,964"
".Montgomery County, North Carolina","27,173"
".Moore County, North Carolina","100,880"
".Nash County, North Carolina","94,298"
".New Hanover County, North Carolina","234,473"
".Northampton County, North Carolina","19,483"
".Onslow County, North Carolina","197,938"
".Orange County, North Carolina","148,476"
".Pamlico County, North Carolina","12,726"
".Pasquotank County, North Carolina","39,824"
".Pender County, North Carolina","63,060"
".Perquimans County, North Carolina","13,463"
".Person County, North Carolina","39,490"
".Pitt County, North Carolina","180,742"
".Polk County, North Carolina","20,724"
".Randolph County, North Carolina","143,667"
".Richmond County, North Carolina","44,829"
".Robeson County, North Carolina","130,625"
".Rockingham County, North Carolina","91,010"
".Rowan County, North Carolina","142,088"
".Rutherford County, North Carolina","67,029"
".Sampson County, North Carolina","63,531"
".Scotland County, North Carolina","34,823"
".Stanly County, North Carolina","62,806"
".Stokes County, North Carolina","45,591"
".Surry County, North Carolina","71,783"
".Swain County, North Carolina","14,271"
".Transylvania County, North Carolina","34,385"
".Tyrrell County, North Carolina","4,016"
".Union County, North Carolina","239,859"
".Vance County, North Carolina","44,535"
".Wake County, North Carolina","1,111,761"
".Warren County, North Carolina","19,731"
".Washington County, North Carolina","11,580"
".Watauga County, North Carolina","56,177"
".Wayne County, North Carolina","123,131"
".Wilkes County, North Carolina","68,412"
".Wilson County, North Carolina","81,801"
".Yadkin County, North Carolina","37,667"
".Yancey County, North Carolina","18,069"
".Adams County, North Dakota","2,216"
".Barnes County, North Dakota","10,415"
".Benson County, North Dakota","6,832"
".Billings County, North Dakota","928"
".Bottineau County, North Dakota","6,282"
".Bowman County, North Dakota","3,024"
".Burke County, North Dakota","2,115"
".Burleigh County, North Dakota","95,626"
".Cass County, North Dakota","181,923"
".Cavalier County, North Dakota","3,762"
".Dickey County, North Dakota","4,872"
".Divide County, North Dakota","2,264"
".Dunn County, North Dakota","4,424"
".Eddy County, North Dakota","2,287"
".Emmons County, North Dakota","3,241"
".Foster County, North Dakota","3,210"
".Golden Valley County, North Dakota","1,761"
".Grand Forks County, North Dakota","69,451"
".Grant County, North Dakota","2,274"
".Griggs County, North Dakota","2,231"
".Hettinger County, North Dakota","2,499"
".Kidder County, North Dakota","2,480"
".LaMoure County, North Dakota","4,046"
".Logan County, North Dakota","1,850"
".McHenry County, North Dakota","5,745"
".McIntosh County, North Dakota","2,497"
".McKenzie County, North Dakota","15,024"
".McLean County, North Dakota","9,450"
".Mercer County, North Dakota","8,187"
".Morton County, North Dakota","31,364"
".Mountrail County, North Dakota","10,545"
".Nelson County, North Dakota","2,879"
".Oliver County, North Dakota","1,959"
".Pembina County, North Dakota","6,801"
".Pierce County, North Dakota","3,975"
".Ramsey County, North Dakota","11,519"
".Ransom County, North Dakota","5,218"
".Renville County, North Dakota","2,327"
".Richland County, North Dakota","16,177"
".Rolette County, North Dakota","14,176"
".Sargent County, North Dakota","3,898"
".Sheridan County, North Dakota","1,315"
".Sioux County, North Dakota","4,230"
".Slope County, North Dakota",750
".Stark County, North Dakota","31,489"
".Steele County, North Dakota","1,890"
".Stutsman County, North Dakota","20,704"
".Towner County, North Dakota","2,189"
".Traill County, North Dakota","8,036"
".Walsh County, North Dakota","10,641"
".Ward County, North Dakota","67,641"
".Wells County, North Dakota","3,834"
".Williams County, North Dakota","37,589"
".Adams County, Ohio","27,698"
".Allen County, Ohio","102,351"
".Ashland County, Ohio","53,484"
".Ashtabula County, Ohio","97,241"
".Athens County, Ohio","65,327"
".Auglaize County, Ohio","45,656"
".Belmont County, Ohio","67,006"
".Brown County, Ohio","43,432"
".Butler County, Ohio","383,134"
".Carroll County, Ohio","26,914"
".Champaign County, Ohio","38,885"
".Clark County, Ohio","134,083"
".Clermont County, Ohio","206,428"
".Clinton County, Ohio","41,968"
".Columbiana County, Ohio","101,883"
".Coshocton County, Ohio","36,600"
".Crawford County, Ohio","41,494"
".Cuyahoga County, Ohio","1,235,072"
".Darke County, Ohio","51,113"
".Defiance County, Ohio","38,087"
".Delaware County, Ohio","209,177"
".Erie County, Ohio","74,266"
".Fairfield County, Ohio","157,574"
".Fayette County, Ohio","28,525"
".Franklin County, Ohio","1,316,756"
".Fulton County, Ohio","42,126"
".Gallia County, Ohio","29,898"
".Geauga County, Ohio","93,649"
".Greene County, Ohio","168,937"
".Guernsey County, Ohio","38,875"
".Hamilton County, Ohio","817,473"
".Hancock County, Ohio","75,783"
".Hardin County, Ohio","31,365"
".Harrison County, Ohio","15,040"
".Henry County, Ohio","27,006"
".Highland County, Ohio","43,161"
".Hocking County, Ohio","28,264"
".Holmes County, Ohio","43,960"
".Huron County, Ohio","58,266"
".Jackson County, Ohio","32,413"
".Jefferson County, Ohio","65,325"
".Knox County, Ohio","62,322"
".Lake County, Ohio","230,149"
".Lawrence County, Ohio","59,463"
".Licking County, Ohio","176,862"
".Logan County, Ohio","45,672"
".Lorain County, Ohio","309,833"
".Lucas County, Ohio","428,348"
".Madison County, Ohio","44,731"
".Mahoning County, Ohio","228,683"
".Marion County, Ohio","65,093"
".Medina County, Ohio","179,746"
".Meigs County, Ohio","22,907"
".Mercer County, Ohio","41,172"
".Miami County, Ohio","106,987"
".Monroe County, Ohio","13,654"
".Montgomery County, Ohio","531,687"
".Morgan County, Ohio","14,508"
".Morrow County, Ohio","35,328"
".Muskingum County, Ohio","86,215"
".Noble County, Ohio","14,424"
".Ottawa County, Ohio","40,525"
".Paulding County, Ohio","18,672"
".Perry County, Ohio","36,134"
".Pickaway County, Ohio","58,457"
".Pike County, Ohio","27,772"
".Portage County, Ohio","162,466"
".Preble County, Ohio","40,882"
".Putnam County, Ohio","33,861"
".Richland County, Ohio","121,154"
".Ross County, Ohio","76,666"
".Sandusky County, Ohio","58,518"
".Scioto County, Ohio","75,314"
".Seneca County, Ohio","55,178"
".Shelby County, Ohio","48,590"
".Stark County, Ohio","370,606"
".Summit County, Ohio","541,013"
".Trumbull County, Ohio","197,974"
".Tuscarawas County, Ohio","91,987"
".Union County, Ohio","58,988"
".Van Wert County, Ohio","28,275"
".Vinton County, Ohio","13,085"
".Warren County, Ohio","234,602"
".Washington County, Ohio","59,911"
".Wayne County, Ohio","115,710"
".Williams County, Ohio","36,692"
".Wood County, Ohio","130,817"
".Wyandot County, Ohio","21,772"
".Adair County, Oklahoma","22,194"
".Alfalfa County, Oklahoma","5,702"
".Atoka County, Oklahoma","13,758"
".Beaver County, Oklahoma","5,311"
".Beckham County, Oklahoma","21,859"
".Blaine County, Oklahoma","9,429"
".Bryan County, Oklahoma","47,995"
".Caddo County, Oklahoma","28,762"
".Canadian County, Oklahoma","148,306"
".Carter County, Oklahoma","48,111"
".Cherokee County, Oklahoma","48,657"
".Choctaw County, Oklahoma","14,672"
".Cimarron County, Oklahoma","2,137"
".Cleveland County, Oklahoma","284,014"
".Coal County, Oklahoma","5,495"
".Comanche County, Oklahoma","120,749"
".Cotton County, Oklahoma","5,666"
".Craig County, Oklahoma","14,142"
".Creek County, Oklahoma","71,522"
".Custer County, Oklahoma","29,003"
".Delaware County, Oklahoma","43,009"
".Dewey County, Oklahoma","4,891"
".Ellis County, Oklahoma","3,859"
".Garfield County, Oklahoma","61,056"
".Garvin County, Oklahoma","27,711"
".Grady County, Oklahoma","55,834"
".Grant County, Oklahoma","4,333"
".Greer County, Oklahoma","5,712"
".Harmon County, Oklahoma","2,653"
".Harper County, Oklahoma","3,688"
".Haskell County, Oklahoma","12,627"
".Hughes County, Oklahoma","13,279"
".Jackson County, Oklahoma","24,530"
".Jefferson County, Oklahoma","6,002"
".Johnston County, Oklahoma","11,085"
".Kay County, Oklahoma","43,538"
".Kingfisher County, Oklahoma","15,765"
".Kiowa County, Oklahoma","8,708"
".Latimer County, Oklahoma","10,073"
".Le Flore County, Oklahoma","49,853"
".Lincoln County, Oklahoma","34,877"
".Logan County, Oklahoma","48,011"
".Love County, Oklahoma","10,253"
".McClain County, Oklahoma","40,474"
".McCurtain County, Oklahoma","32,832"
".McIntosh County, Oklahoma","19,596"
".Major County, Oklahoma","7,629"
".Marshall County, Oklahoma","16,931"
".Mayes County, Oklahoma","41,100"
".Murray County, Oklahoma","14,073"
".Muskogee County, Oklahoma","67,997"
".Noble County, Oklahoma","11,131"
".Nowata County, Oklahoma","10,076"
".Okfuskee County, Oklahoma","11,993"
".Oklahoma County, Oklahoma","797,434"
".Okmulgee County, Oklahoma","38,465"
".Osage County, Oklahoma","46,963"
".Ottawa County, Oklahoma","31,127"
".Pawnee County, Oklahoma","16,376"
".Payne County, Oklahoma","81,784"
".Pittsburg County, Oklahoma","43,654"
".Pontotoc County, Oklahoma","38,284"
".Pottawatomie County, Oklahoma","72,592"
".Pushmataha County, Oklahoma","11,096"
".Roger Mills County, Oklahoma","3,583"
".Rogers County, Oklahoma","92,459"
".Seminole County, Oklahoma","24,258"
".Sequoyah County, Oklahoma","41,569"
".Stephens County, Oklahoma","43,143"
".Texas County, Oklahoma","19,983"
".Tillman County, Oklahoma","7,250"
".Tulsa County, Oklahoma","651,552"
".Wagoner County, Oklahoma","81,289"
".Washington County, Oklahoma","51,527"
".Washita County, Oklahoma","10,916"
".Woods County, Oklahoma","8,793"
".Woodward County, Oklahoma","20,211"
".Baker County, Oregon","16,124"
".Benton County, Oregon","93,053"
".Clackamas County, Oregon","418,187"
".Clatsop County, Oregon","40,224"
