fips,population
06067,1552058
06073,3338330
06075,881549
06077,762148
06081,766573
06085,1927852
06087,273213
06089,180080
06095,447643
06097,494336
06111,846006
06113,220500
08005,656590
08031,727211
08035,351154
08037,55127
08041,720403
08051,17462
08059,582881
08069,356899
09001,943332
11001,705749
12001,269043
12011,1952778
12015,188910
12021,384902
12057,1471968
12071,770577
12081,403253
12089,88625
12091,210738
12101,553947
12103,974996
12113,184313
12127,553284
13049,13392
13057,258773
13067,760141
13089,759297
13113,114421
13115,98498
13121,1063937
13135,936250
13233,42613
15003,974563
17031,5150233
17089,532403
17111,307774
18001,35777
18011,67843
18063,170311
18097,964582
18113,47744
19103,151140
19155,93206
20091,602401
21067,323152
21097,18886
21111,766757
22051,432493
22071,390144
24025,255441
24031,1050688
24033,909327
25003,124944
25009,789034
25017,1611699
25021,706775
25025,803907
25027,830622
26125,1257584
26163,1749343
27003,356921
27019,105089
27123,550321
29189,994205
31055,571327
32003,2266715
32031,471519
33009,89886
33015,309769
34003,932202
34005,445349
34007,506471
34017,672391
34025,618795
34031,501826
34039,556341
36059,1356924
NA,NA
36087,325789
36091,229863
36103,1476601
36111,177573
36119,967506
37037,74470
37183,1111761
39035,1235072
40143,651552
41019,110980
41029,220944
41035,68238
41047,347818
41051,812855
41067,601592
42045,566747
42089,170271
42091,830915
42101,1584064
42127,51361
NA,NA
45019,411406
45055,66551
45083,319785
46005,18453
46023,9292
46035,19775
46099,193134
47037,694144
47157,937166
47163,158348
47187,238412
48029,2003554
48085,1034730
48113,2635516
48157,811688
48201,4713325
48339,607391
48439,2102515
49011,355481
49035,1160437
49053,177556
49057,260213
50003,35470
51059,1147532
51107,413538
51810,449974
53007,77200
53011,488241
53031,32221
53033,2252782
53035,271473
53037,47935
53053,904980
53057,129205
53061,822083
53063,522798
53071,60760
53073,229247
55025,546695
55093,42754
04013,4485414
04019,1047279
04021,462789
05069,66824
06001,1671329
06013,1153526
06019,999101
06023,135558
06037,10039107
06039,157327
06041,258826
06055,137744
06059,3175692
06061,398329
06065,2470546
06067,1552058
06073,3338330
06075,881549
06077,762148
06081,766573
06085,1927852
06087,273213
06089,180080
06095,447643
06097,494336
06099,550660
06111,846006
06113,220500
08005,656590
08031,727211
08035,351154
08037,55127
08041,720403
08051,17462
08059,582881
08069,356899
08097,17767
09001,943332
10003,558753
11001,705749
12001,269043
12011,1952778
12015,188910
12021,384902
12057,1471968
12071,770577
12081,403253
12086,2716940
12089,88625
12091,210738
12101,553947
12103,974996
12113,184313
12109,264672
12127,553284
13015,107738
13049,13392
13057,258773
13067,760141
13089,759297
13113,114421
13115,98498
13121,1063937
13135,936250
13177,29992
13185,117406
13233,42613
15003,974563
17031,5150233
17089,532403
17097,696535
17111,307774
18001,35777
18011,67843
18063,170311
18067,82544
18081,158167
18097,964582
18113,47744
18141,271826
19103,151140
19155,93206
20091,602401
21067,323152
21097,18886
21111,766757
22017,240204
22051,432493
22071,390144
24005,827370
24025,255441
24031,1050688
24033,909327
25003,124944
25009,789034
25017,1611699
25021,706775
25025,803907
25027,830622
26125,1257584
26163,1749343
27003,356921
27019,105089
27109,158293
27123,550321
28035,74897
29189,994205
31055,571327
32003,2266715
32031,471519
33009,89886
33015,309769
34003,932202
34005,445349
34007,506471
34017,672391
34023,825062
34025,618795
34031,501826
34039,556341
35001,679121
35049,150358
35053,16637
36055,741770
36059,1356924
NA,NA
36087,325789
36091,229863
36103,1476601
36111,177573
36119,967506
37037,74470
37183,1111761
38101,67641
39035,1235072
39151,370606
40143,651552
41017,197692
41019,110980
41029,220944
41035,68238
41043,129749
41047,347818
41051,812855
41053,86085
41059,77950
41067,601592
42017,628270
42045,566747
42089,170271
42091,830915
42101,1584064
42127,51361
NA,NA
45019,411406
45055,66551
45057,98012
45083,319785
46005,18453
46009,6901
46023,9292
46035,19775
46099,193134
47037,694144
47157,937166
47163,158348
47187,238412
48029,2003554
48085,1034730
48113,2635516
48157,811688
48183,123945
48201,4713325
48339,607391
48439,2102515
49011,355481
49035,1160437
49053,177556
49057,260213
50003,35470
50007,163774
51013,236842
51059,1147532
51107,413538
51810,449974
53007,77200
53011,488241
53029,85141
53031,32221
53033,2252782
53035,271473
53037,47935
53053,904980
53057,129205
53061,822083
53063,522798
53067,290536
53071,60760
53073,229247
55025,546695
55039,103403
55093,42754
55133,404198
56033,30485
02020,288000
04013,4485414
04019,1047279
04021,462789
05069,66824
05119,391911
06001,1671329
06013,1153526
06019,999101
06023,135558
06037,10039107
06039,157327
06041,258826
06055,137744
06059,3175692
06061,398329
06065,2470546
06067,1552058
06073,3338330
06075,881549
06077,762148
06081,766573
06085,1927852
06087,273213
06089,180080
06095,447643
06097,494336
06099,550660
06107,466195
06111,846006
06113,220500
08001,517421
08005,656590
08031,727211
08035,351154
08037,55127
08041,720403
08051,17462
08059,582881
08069,356899
08097,17767
09001,943332
09005,180333
10003,558753
11001,705749
12001,269043
12011,1952778
12015,188910
12019,219252
12021,384902
12031,957755
12057,1471968
12071,770577
12081,403253
12086,2716940
12089,88625
12091,210738
12099,1496770
12101,553947
12103,974996
12113,184313
12115,433742
12117,471826
12109,264672
12127,553284
13015,107738
13049,13392
13057,258773
13067,760141
13089,759297
13113,114421
13115,98498
13121,1063937
13135,936250
13177,29992
13185,117406
13233,42613
15003,974563
17031,5150233
17089,532403
17097,696535
17111,307774
18001,35777
18011,67843
18063,170311
18067,82544
18081,158167
18097,964582
18113,47744
18141,271826
19027,20165
19103,151140
19155,93206
20091,602401
20209,165429
21067,323152
21097,18886
21111,766757
21173,28157
22017,240204
22051,432493
22071,390144
23001,108277
24005,827370
24025,255441
24031,1050688
24033,909327
25003,124944
25009,789034
25017,1611699
25021,706775
25025,803907
25027,830622
26065,292406
26081,656955
26117,63888
26125,1257584
26147,159128
26161,367601
26163,1749343
27003,356921
27019,105089
27037,429021
27053,1265843
27109,158293
27123,550321
27145,161075
28035,74897
29077,293086
29189,994205
31025,26248
31055,571327
32510,55916
32003,2266715
32031,471519
33009,89886
33015,309769
34003,932202
34005,445349
34007,506471
34013,798975
34017,672391
34023,825062
34025,618795
34027,491845
34031,501826
34039,556341
NA,NA
35001,679121
35049,150358
35053,16637
36001,305506
36025,44135
36027,294218
36043,61319
36055,741770
36059,1356924
NA,NA
36071,384940
36087,325789
36091,229863
36103,1476601
36111,177573
36119,967506
37025,216453
37037,74470
37067,382295
37101,209339
37119,1110356
37133,197938
37183,1111761
38101,67641
39035,1235072
39151,370606
39155,197974
40143,651552
41005,418187
41017,197692
41019,110980
41029,220944
41035,68238
41043,129749
41047,347818
41051,812855
41053,86085
41059,77950
41067,601592
42017,628270
42045,566747
42089,170271
42091,830915
42095,305285
42101,1584064
42103,55809
42127,51361
NA,NA
45019,411406
45055,66551
45057,98012
45083,319785
46005,18453
46009,6901
46023,9292
46035,19775
46099,193134
47037,694144
47093,470313
47157,937166
47163,158348
47187,238412
48029,2003554
48085,1034730
48113,2635516
48157,811688
48183,123945
48201,4713325
48339,607391
48439,2102515
49011,355481
49035,1160437
49053,177556
49057,260213
50003,35470
50007,163774
51510,159428
51013,236842
51059,1147532
51085,107766
51095,76523
51107,413538
51147,22802
51153,470335
51810,449974
53007,77200
53011,488241
53013,3985
53027,75061
53029,85141
53031,32221
53033,2252782
53035,271473
53037,47935
53053,904980
53057,129205
53061,822083
53063,522798
53067,290536
53071,60760
53073,229247
53077,250873
55025,546695
55039,103403
55093,42754
55133,404198
56033,30485
01051,81209
01073,658573
01083,98915
01101,226486
01125,209355
02020,288000
04013,4485414
04019,1047279
04021,462789
05069,66824
05119,391911
06001,1671329
06013,1153526
06019,999101
06023,135558
06037,10039107
06039,157327
06041,258826
06055,137744
06059,3175692
06061,398329
06065,2470546
06067,1552058
06069,62808
06073,3338330
06075,881549
06077,762148
06081,766573
06085,1927852
06087,273213
06089,180080
06095,447643
06097,494336
06099,550660
06107,466195
06111,846006
06113,220500
08001,517421
08005,656590
08019,9700
08031,727211
08035,351154
08037,55127
08041,720403
08051,17462
08059,582881
08069,356899
08097,17767
08101,168424
08107,25638
08117,31011
08123,324492
09001,943332
09005,180333
10003,558753
11001,705749
12001,269043
12011,1952778
12015,188910
12019,219252
12021,384902
12031,957755
12057,1471968
12071,770577
12081,403253
12086,2716940
12089,88625
12091,210738
12095,1393452
12097,375751
12099,1496770
12101,553947
12103,974996
12113,184313
12115,433742
12117,471826
12109,264672
12127,553284
13015,107738
13049,13392
13057,258773
13067,760141
13089,759297
13113,114421
13115,98498
13121,1063937
13129,57963
13135,936250
13151,234561
13177,29992
13185,117406
13233,42613
15003,974563
16001,481587
17031,5150233
17089,532403
17097,696535
17111,307774
18001,35777
18011,67843
18063,170311
18067,82544
18081,158167
18097,964582
18113,47744
18141,271826
19027,20165
19085,14049
19103,151140
19155,93206
20015,66911
20091,602401
20209,165429
21067,323152
21097,18886
21111,766757
21173,28157
22017,240204
22051,432493
22071,390144
22089,53100
22103,260419
22109,110461
23001,108277
23005,295003
24003,579234
24005,827370
24017,163257
24025,255441
24031,1050688
24033,909327
25003,124944
25009,789034
25017,1611699
25021,706775
25025,803907
25027,830622
26017,103126
26029,26143
26065,292406
26081,656955
26089,21761
26099,873972
26117,63888
26125,1257584
26147,159128
26161,367601
26163,1749343
27003,356921
27019,105089
27037,429021
27053,1265843
27109,158293
27123,550321
27145,161075
27171,138377
28029,28065
28035,74897
28083,28183
28109,55535
29077,293086
29083,21824
29189,994205
30031,114434
30049,69432
30093,34915
30111,161300
31025,26248
31055,571327
32510,55916
32003,2266715
32031,471519
33009,89886
33015,309769
34003,932202
34005,445349
34007,506471
34013,798975
34017,672391
34023,825062
34025,618795
34027,491845
34029,607186
34031,501826
34039,556341
NA,NA
35001,679121
35049,150358
35053,16637
36001,305506
36025,44135
36027,294218
36043,61319
36055,741770
36059,1356924
NA,NA
36071,384940
36087,325789
36091,229863
36093,155299
36103,1476601
36111,177573
36119,967506
37025,216453
37037,74470
37067,382295
37101,209339
37119,1110356
37133,197938
