date,geoid,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-02-18,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-18,USA-53,Washington,0,0,0,0,0,0
2020-02-18,USA-48,Texas,0,0.29,0,0,0,0
2020-02-18,USA-31,Nebraska,0,1.43,0.07,0,0,0
2020-02-18,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-18,USA-17,Illinois,0,0,0,0,0,0
2020-02-18,USA-06,California,0,0,0,0,0,0
2020-02-18,USA-04,Arizona,0,0,0,0,0,0
2020-02-19,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-19,USA-53,Washington,0,0,0,0,0,0
2020-02-19,USA-48,Texas,0,0.14,0,0,0,0
2020-02-19,USA-31,Nebraska,0,1.43,0.07,0,0,0
2020-02-19,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-19,USA-17,Illinois,0,0,0,0,0,0
2020-02-19,USA-06,California,0,0,0,0,0,0
2020-02-19,USA-04,Arizona,0,0,0,0,0,0
2020-02-20,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-20,USA-53,Washington,0,0,0,0,0,0
2020-02-20,USA-48,Texas,0,0,0,0,0,0
2020-02-20,USA-31,Nebraska,1,1.57,0.08,0,0,0
2020-02-20,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-20,USA-17,Illinois,0,0,0,0,0,0
2020-02-20,USA-06,California,1,0.14,0,0,0,0
2020-02-20,USA-04,Arizona,0,0,0,0,0,0
2020-02-21,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-21,USA-53,Washington,0,0,0,0,0,0
2020-02-21,USA-48,Texas,2,0.29,0,0,0,0
2020-02-21,USA-31,Nebraska,0,1.57,0.08,0,0,0
2020-02-21,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-21,USA-17,Illinois,0,0,0,0,0,0
2020-02-21,USA-06,California,1,0.29,0,0,0,0
2020-02-21,USA-04,Arizona,0,0,0,0,0,0
2020-02-22,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-22,USA-53,Washington,0,0,0,0,0,0
2020-02-22,USA-48,Texas,0,0.29,0,0,0,0
2020-02-22,USA-31,Nebraska,0,1.57,0.08,0,0,0
2020-02-22,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-22,USA-17,Illinois,0,0,0,0,0,0
2020-02-22,USA-06,California,0,0.29,0,0,0,0
2020-02-22,USA-04,Arizona,0,0,0,0,0,0
2020-02-23,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-23,USA-53,Washington,0,0,0,0,0,0
2020-02-23,USA-48,Texas,0,0.29,0,0,0,0
2020-02-23,USA-31,Nebraska,0,1.57,0.08,0,0,0
2020-02-23,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-23,USA-17,Illinois,0,0,0,0,0,0
2020-02-23,USA-06,California,0,0.29,0,0,0,0
2020-02-23,USA-04,Arizona,0,0,0,0,0,0
2020-02-24,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-24,USA-53,Washington,4,0.57,0.01,0,0,0
2020-02-24,USA-48,Texas,6,1.14,0,0,0,0
2020-02-24,USA-31,Nebraska,1,0.29,0.01,0,0,0
2020-02-24,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-24,USA-17,Illinois,0,0,0,0,0,0
2020-02-24,USA-06,California,2,0.57,0,0,0,0
2020-02-24,USA-04,Arizona,0,0,0,0,0,0
2020-02-25,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-25,USA-53,Washington,0,0.57,0.01,0,0,0
2020-02-25,USA-49,Utah,1,0.14,0,0,0,0
2020-02-25,USA-48,Texas,0,1.14,0,0,0,0
2020-02-25,USA-31,Nebraska,1,0.43,0.02,0,0,0
2020-02-25,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-25,USA-17,Illinois,0,0,0,0,0,0
2020-02-25,USA-06,California,0,0.57,0,0,0,0
2020-02-25,USA-04,Arizona,0,0,0,0,0,0
2020-02-26,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-26,USA-53,Washington,0,0.57,0.01,0,0,0
2020-02-26,USA-49,Utah,0,0.14,0,0,0,0
2020-02-26,USA-48,Texas,0,1.14,0,0,0,0
2020-02-26,USA-31,Nebraska,0,0.43,0.02,0,0,0
2020-02-26,USA-25,Massachusetts,0,0,0,0,0,0
2020-02-26,USA-17,Illinois,0,0,0,0,0,0
2020-02-26,USA-06,California,15,2.71,0.01,0,0,0
2020-02-26,USA-04,Arizona,0,0,0,0,0,0
2020-02-27,USA-55,Wisconsin,0,0,0,0,0,0
2020-02-27,USA-53,Washington,0,0.57,0.01,0,0,0
2020-02-27,USA-49,Utah,0,0.14,0,0,0,0
2020-02-27,USA-48,Texas,0,1.14,0,0,0,0
2020-02-27,USA-31,Nebraska,0,0.29,0.01,0,0,0
2020-02-27,USA-25,Massachusetts,0,0,0,0,0,0
